trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,16.1180477142334,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,15.935245513916016,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,16.201688766479492,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,15.77617073059082,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,17.772098541259766,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,16.085098266601562,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,16.230850219726562,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,15.716691970825195,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,16.028797149658203,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,15.58851432800293,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,15.585960388183594,1,3,10,0.35,0.0006084700122415443,1.5055873060237694e-05,128
11,15.607022285461426,1,3,10,0.35,0.0007568882097725556,1.7034768500539467e-05,128
12,15.434764862060547,0,4,10,0.4,0.0003150270206344204,3.584903725849027e-05,128
13,15.523022651672363,2,3,8,0.4,0.00036329458704447576,8.22666851276008e-06,128
14,15.797158241271973,2,4,7,0.4,0.00032593743648220253,5.304748503302383e-06,128
15,15.763248443603516,2,2,8,0.4,9.469540923333313e-05,1.802730295063771e-06,128
16,15.99466323852539,2,5,4,0.25,0.00015107653087335611,1.0624672647798019e-06,128
17,15.474072456359863,0,2,10,0.45000000000000007,0.0004237851034872022,6.149568678305376e-05,128
18,15.633281707763672,0,2,11,0.45000000000000007,0.000179891045402965,4.774936901456947e-05,256
19,15.805716514587402,0,2,11,0.45000000000000007,0.00047889103700744334,0.0009594918377173701,1024
20,15.714272499084473,1,0,17,0.30000000000000004,0.00022368317661575852,6.00798870033669e-05,128
21,15.679099082946777,0,3,7,0.4,0.00043708901323633335,1.9367952175542642e-05,128
22,15.644426345825195,2,4,9,0.45000000000000007,0.0009918566706316216,8.38184006700458e-06,128
23,15.701766967773438,1,2,7,0.4,0.0005067168328535669,8.985275808399875e-05,128
24,15.790079116821289,3,5,12,0.30000000000000004,7.137245092957803e-05,2.9697249165788134e-05,128
25,15.707310676574707,0,3,9,0.45000000000000007,0.0002929349856305668,9.452809229106563e-06,128
26,17.833175659179688,2,2,4,0.4,1.384478540948663e-05,6.642155401825564e-05,128
27,16.002138137817383,1,4,8,0.5,0.00012501514504589036,2.418411878565584e-05,1024
28,15.652337074279785,0,3,6,0.30000000000000004,0.0006400030424767742,0.0001408313014156901,256
29,15.641990661621094,4,6,12,0.35,0.00020459571395147058,5.285348611379732e-06,256
