trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
12,15.434764862060547,0,4,10,0.4,0.0003150270206344204,3.584903725849027e-05,128
17,15.474072456359863,0,2,10,0.45000000000000007,0.0004237851034872022,6.149568678305376e-05,128
13,15.523022651672363,2,3,8,0.4,0.00036329458704447576,8.22666851276008e-06,128
10,15.585960388183594,1,3,10,0.35,0.0006084700122415443,1.5055873060237694e-05,128
9,15.58851432800293,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
11,15.607022285461426,1,3,10,0.35,0.0007568882097725556,1.7034768500539467e-05,128
18,15.633281707763672,0,2,11,0.45000000000000007,0.000179891045402965,4.774936901456947e-05,256
29,15.641990661621094,4,6,12,0.35,0.00020459571395147058,5.285348611379732e-06,256
22,15.644426345825195,2,4,9,0.45000000000000007,0.0009918566706316216,8.38184006700458e-06,128
28,15.652337074279785,0,3,6,0.30000000000000004,0.0006400030424767742,0.0001408313014156901,256
