trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,14.124746322631836,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,14.62905216217041,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,14.007593154907227,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,17.582813262939453,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,15.275830268859863,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,15.455419540405273,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,18.221263885498047,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,13.717864990234375,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,14.340970993041992,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,12.463043212890625,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,11.242558479309082,1,3,10,0.35,0.0006084700122415443,1.5055873060237694e-05,128
11,12.33037281036377,1,3,10,0.35,0.0007568882097725556,1.7034768500539467e-05,128
12,12.357434272766113,1,3,9,0.4,0.0008346639415819694,1.2088179189460858e-05,128
13,12.015671730041504,2,3,10,0.30000000000000004,0.0003719777412883037,1.1538327053251592e-06,128
14,12.90430736541748,2,2,7,0.25,0.0003944509303803756,1.6373266401425845e-06,128
15,13.250936508178711,2,4,11,0.30000000000000004,0.00019027636656108492,1.3440148305610818e-06,128
16,11.763385772705078,2,2,7,0.15000000000000002,0.0004894057592170779,5.461206586931908e-06,128
17,12.875633239746094,1,2,7,0.15000000000000002,8.956690393886742e-05,5.1587228557355726e-06,128
18,16.66194725036621,2,2,3,0.2,1.0770647537420062e-05,4.773618185168039e-05,256
19,17.29538917541504,3,0,7,0.1,0.0005446088059173922,5.1916254415267425e-06,1024
20,13.835783958435059,1,5,17,0.4,0.00014203894171699498,1.9871782886417332e-05,128
21,11.90782642364502,2,3,10,0.30000000000000004,0.0004742985368854859,1.0880389325132776e-06,128
22,12.608235359191895,2,2,11,0.2,0.0005665033272450019,7.686000987556317e-06,128
23,11.932096481323242,2,3,8,0.4,0.00023304464388975953,2.2352107717417417e-06,128
24,12.847057342529297,3,4,5,0.30000000000000004,0.0005601486345957133,1.005667132004963e-06,128
25,11.939164161682129,1,2,12,0.2,0.0003124505853835015,5.282830903283235e-06,128
26,11.674872398376465,2,1,8,0.35,0.0005031633436833936,2.506979521537199e-06,128
27,17.15520477294922,2,1,4,0.45000000000000007,0.0009778253859371617,1.781194666663813e-05,1024
28,29.42393684387207,0,0,8,0.35,0.00011268946069245168,2.4582553225047e-06,256
29,26.850934982299805,1,1,6,0.4,5.6525769205675546e-05,3.4943578708591347e-06,256
