trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,18.354312896728516,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,16.11441421508789,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,20.159221649169922,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,29.244537353515625,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,21.528200149536133,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,19.964767456054688,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,20.288280487060547,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,16.906049728393555,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,22.42636489868164,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,15.650640487670898,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,16.180343627929688,1,3,10,0.35,0.0006084700122415443,1.5055873060237694e-05,128
11,21.075016021728516,0,6,11,0.15000000000000002,1.0453436254523374e-05,1.1931369372076824e-06,256
12,16.208271026611328,0,4,17,0.2,0.00032080388994744987,5.471670626414296e-06,128
13,16.113170623779297,2,5,13,0.35,8.883116653692035e-05,3.0489914090667483e-05,256
14,17.130043029785156,2,4,7,0.4,9.858102425593379e-05,3.5536537392482436e-05,256
15,15.204915046691895,2,5,11,0.30000000000000004,0.00032301965540347055,1.8741724288362358e-05,128
16,15.82811164855957,2,5,9,0.30000000000000004,0.0004015832709955419,1.8752846328476572e-05,128
17,16.17524528503418,1,2,11,0.4,0.00018675093618689885,7.297873957005097e-05,128
18,16.14919662475586,3,4,7,0.30000000000000004,0.0005593044371291677,1.0584011055150863e-05,128
19,14.881681442260742,1,5,15,0.25,0.00017904319826816606,0.000862477575080906,128
20,15.791600227355957,1,5,16,0.25,0.0001605979675919511,0.000721199837318669,128
21,15.406100273132324,1,5,12,0.30000000000000004,0.00023066090533406536,6.43906677062819e-05,128
22,16.381128311157227,2,5,11,0.2,0.00020769402242229386,0.0004024213491547549,128
23,16.96210289001465,2,3,15,0.30000000000000004,6.241676603586983e-05,7.627814943772176e-05,128
24,33.82807540893555,1,6,12,0.2,0.00012636062426799283,0.0009262343806521542,1024
25,16.64501953125,2,5,8,0.25,0.0004705325418659106,0.00013869317721166167,128
26,15.468096733093262,1,6,15,0.4,0.00025552274840329447,5.4047349344491296e-05,128
27,17.73788070678711,1,2,9,0.30000000000000004,0.0009506948719724457,1.104540795475351e-06,128
28,16.083881378173828,2,4,17,0.25,0.00013558013656389924,1.9865017367288973e-05,128
29,20.01459503173828,1,5,12,0.35,0.00023653544536746641,7.0504787574330765e-06,1024
