trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,19.566499710083008,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,19.696203231811523,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,19.901874542236328,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,19.703697204589844,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,21.38842010498047,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,19.74989891052246,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,20.46835708618164,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,19.927936553955078,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,19.8836669921875,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,19.456411361694336,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,19.815372467041016,1,3,10,0.35,0.0006084700122415443,1.5055873060237694e-05,128
11,21.408227920532227,1,6,11,0.35,1.0434108250844066e-05,1.184246490538537e-06,256
12,19.74015998840332,0,4,17,0.4,0.00032080388994744987,1.1661221021984343e-06,128
13,19.588626861572266,2,5,12,0.30000000000000004,8.883116653692035e-05,4.210060503334372e-06,256
14,21.16317367553711,1,5,7,0.4,1.1248613366724763e-05,3.6819606586783916e-05,256
15,19.885425567626953,2,4,14,0.25,0.0003420912753837745,1.2651343911332285e-05,128
16,19.61919403076172,0,2,8,0.35,0.00015107653087335611,3.2875092503377914e-06,128
17,19.644168853759766,1,6,12,0.2,6.055888003867962e-05,5.022162859503121e-05,256
18,19.996463775634766,0,5,15,0.4,1.8654346029815317e-05,6.986228381681101e-06,1024
19,19.753124237060547,2,4,10,0.30000000000000004,0.00016308396629744683,0.0009578928128517178,256
20,19.804275512695312,1,6,13,0.45000000000000007,0.0004955441001858274,1.9871782886417332e-05,128
21,19.811185836791992,2,5,12,0.30000000000000004,9.399618663264784e-05,3.2459698979702884e-06,256
22,19.76715850830078,2,5,10,0.30000000000000004,6.968406584779687e-05,5.781378807556839e-06,256
23,20.44503402709961,1,4,12,0.35,1.72823748808215e-05,2.0994087605532614e-06,256
24,19.822675704956055,0,6,17,0.2,0.00021435854611957596,1.9495019626560355e-05,256
25,19.73575210571289,2,3,15,0.4,4.798994497702759e-05,1.8360802212250209e-06,256
26,19.763290405273438,3,5,8,0.30000000000000004,0.0005312443860865522,5.403641066325236e-06,128
27,19.68539047241211,1,2,13,0.35,0.00010673704040592022,6.639259717512297e-05,1024
28,20.343019485473633,2,5,11,0.25,2.5723044005993532e-05,2.6273530979904563e-05,256
29,19.65264320373535,0,6,15,0.2,0.00011595328385020642,2.180663032375234e-06,256
