trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,17.32392692565918,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,15.690017700195312,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,17.263347625732422,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,22.71520233154297,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,20.717876434326172,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,23.496793746948242,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,18.5299072265625,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,14.70084285736084,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,17.612783432006836,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,14.54670238494873,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,14.043693542480469,1,3,10,0.35,0.0006084700122415443,1.5055873060237694e-05,128
11,14.612977027893066,1,3,10,0.35,0.0007568882097725556,1.7034768500539467e-05,128
12,14.602673530578613,0,4,10,0.4,0.0003150270206344204,3.584903725849027e-05,128
13,14.641403198242188,2,2,8,0.30000000000000004,0.0003619125620712102,1.136516683735133e-06,128
14,13.937339782714844,1,4,17,0.4,0.0005195327679497966,9.811581235264329e-06,128
15,14.867591857910156,2,5,17,0.4,0.000574417752566352,8.748564268533557e-06,128
16,13.964838981628418,2,2,7,0.25,0.0001442554065073416,4.737182241276747e-06,128
17,14.496334075927734,2,2,6,0.2,0.00011515988980772029,3.1176143630506904e-06,128
18,18.575807571411133,2,2,3,0.25,1.0375193271828808e-05,1.2068605164306055e-06,256
19,18.566978454589844,1,0,8,0.2,0.00017904319826816606,6.612892500251499e-06,1024
20,14.966178894042969,3,5,3,0.30000000000000004,5.675340745421165e-05,4.344260955936024e-06,128
21,14.30827522277832,1,3,11,0.4,0.00045522209184669754,1.8572927161150156e-05,128
22,14.763589859008789,1,3,7,0.45000000000000007,0.000994303713965602,1.4506156713359715e-05,128
23,14.623750686645508,2,4,11,0.30000000000000004,0.00020608281524516566,2.091395240295307e-06,128
24,15.452215194702148,2,2,17,0.35,0.0005601486345957133,6.94539131362042e-06,128
25,14.187688827514648,1,3,9,0.45000000000000007,0.00010452479770122761,5.9995021403616425e-05,128
26,14.537556648254395,1,4,15,0.2,0.0006147437508570516,2.180308179926912e-05,128
27,18.028528213500977,0,2,12,0.4,0.00023818853017224269,1.0171563935807438e-05,1024
28,14.020018577575684,2,3,3,0.25,0.00013558013656389924,4.854362278339934e-06,256
29,14.97417163848877,2,6,3,0.15000000000000002,7.396545207626268e-05,1.9668612222528367e-06,256
