trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,16.462966918945312,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,14.414224624633789,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,22.07808494567871,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,15.878417015075684,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,18.26552391052246,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,16.017822265625,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,18.298925399780273,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,13.797106742858887,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,23.917327880859375,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,13.545548439025879,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,12.961774826049805,1,3,10,0.35,0.0006084700122415443,1.5055873060237694e-05,128
11,13.385945320129395,1,3,10,0.35,0.0007568882097725556,1.7034768500539467e-05,128
12,14.212105751037598,1,3,9,0.4,0.0008346639415819694,1.2088179189460858e-05,128
13,13.395645141601562,2,3,10,0.30000000000000004,0.0003719777412883037,1.1538327053251592e-06,128
14,13.10463809967041,2,2,7,0.4,0.0005613896859615301,1.9772186450519866e-05,128
15,13.501870155334473,2,2,5,0.4,0.00046877058204488367,4.709371982625859e-05,128
16,12.927877426147461,2,2,7,0.25,0.00015107653087335611,5.444316369366215e-06,128
17,12.742302894592285,1,2,7,0.2,0.00011574483432445468,5.14886214998509e-06,128
18,14.750188827514648,2,0,3,0.2,1.0383007494958427e-05,4.850561083096195e-06,256
19,31.110103607177734,3,4,7,0.2,9.071001319765357e-05,1.4109384262800746e-06,1024
20,13.14184284210205,1,2,7,0.1,0.00017011632119913903,6.947281166720065e-06,128
21,12.258203506469727,1,2,11,0.25,0.00015270559719010373,2.0422454924652756e-06,128
22,13.182048797607422,2,2,11,0.25,0.00014988157707010883,2.0398890673039417e-06,128
23,13.087491989135742,0,1,8,0.2,6.241676603586983e-05,5.1235228851725746e-06,128
24,14.259637832641602,1,2,3,0.15000000000000002,0.00020459072390631197,2.1092435527906537e-06,128
25,13.251177787780762,2,1,12,0.30000000000000004,0.00011833914418719515,7.227798016095579e-06,128
26,13.677389144897461,1,2,8,0.15000000000000002,0.000245799999362337,2.506979521537199e-06,128
27,16.106155395507812,0,0,6,0.25,6.056336562078922e-05,1.104540795475351e-06,1024
28,11.738561630249023,2,2,17,0.2,0.00010813146613887815,4.104653948928903e-06,256
29,13.374561309814453,1,1,17,0.2,0.00010961658787665982,3.1586187924208133e-06,256
