trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
28,11.738561630249023,2,2,17,0.2,0.00010813146613887815,4.104653948928903e-06,256
21,12.258203506469727,1,2,11,0.25,0.00015270559719010373,2.0422454924652756e-06,128
17,12.742302894592285,1,2,7,0.2,0.00011574483432445468,5.14886214998509e-06,128
16,12.927877426147461,2,2,7,0.25,0.00015107653087335611,5.444316369366215e-06,128
10,12.961774826049805,1,3,10,0.35,0.0006084700122415443,1.5055873060237694e-05,128
23,13.087491989135742,0,1,8,0.2,6.241676603586983e-05,5.1235228851725746e-06,128
14,13.10463809967041,2,2,7,0.4,0.0005613896859615301,1.9772186450519866e-05,128
20,13.14184284210205,1,2,7,0.1,0.00017011632119913903,6.947281166720065e-06,128
22,13.182048797607422,2,2,11,0.25,0.00014988157707010883,2.0398890673039417e-06,128
25,13.251177787780762,2,1,12,0.30000000000000004,0.00011833914418719515,7.227798016095579e-06,128
