trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,15.062039375305176,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,13.40618896484375,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,15.813300132751465,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,23.477325439453125,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,22.173276901245117,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,14.506041526794434,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,34.3842658996582,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,12.356084823608398,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,20.859811782836914,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,12.877421379089355,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,13.588705062866211,2,2,8,0.4,0.00029373337029087843,1.3831805735878796e-05,128
11,13.682857513427734,2,3,10,0.4,0.0005490065222391831,6.684688921025685e-05,128
12,15.287243843078613,3,4,10,0.4,0.0002697612371687351,1.4547307271298103e-05,128
13,12.815640449523926,2,0,4,0.30000000000000004,0.0003446511659889723,0.0009167928239443315,128
14,13.492005348205566,2,0,3,0.2,0.00012629302843839664,0.0009625018781980827,128
15,11.774696350097656,3,1,3,0.30000000000000004,0.0009818247569037453,0.00024327893308967352,128
16,12.38879108428955,4,2,2,0.45000000000000007,0.0009790727357714907,0.00016440267405477105,128
17,13.741260528564453,3,1,7,0.25,0.0006402785394999474,1.0332855569626115e-06,128
18,16.281131744384766,3,2,0,0.30000000000000004,6.871010523439598e-05,0.0003713153974641263,256
19,41.38161849975586,1,1,6,0.45000000000000007,0.00017904319826816606,0.00010303929343814321,1024
20,12.526007652282715,4,2,3,0.35,0.0005385770722883319,3.167117953348465e-05,128
21,11.93409538269043,4,2,2,0.45000000000000007,0.0009887257246002134,0.00016002299458232552,128
22,11.51711654663086,4,3,2,0.45000000000000007,0.0009962116147501643,0.00013935718127714054,128
23,12.214110374450684,4,3,2,0.45000000000000007,0.000693331082749244,0.00041910327299917984,128
24,11.97661304473877,4,3,4,0.4,0.0004807823951397633,5.73904655965001e-05,128
25,11.927276611328125,4,2,2,0.2,0.0008693801653136926,0.0001402685405571895,128
26,13.724906921386719,3,4,6,0.15000000000000002,1.384478540948663e-05,0.000490317822637526,128
27,15.719367980957031,4,2,9,0.2,0.00041494273708677493,0.00011177067863918999,1024
28,13.571592330932617,3,3,3,0.1,0.0007100540656333896,0.0002750701323047196,256
29,12.716997146606445,4,5,1,0.2,0.000221109009220455,6.686136501150665e-05,256
