trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,18.66466522216797,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,14.749744415283203,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,28.673503875732422,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,26.96915626525879,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,36.875640869140625,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,19.627159118652344,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,26.647432327270508,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,15.938775062561035,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,26.16771697998047,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,14.639326095581055,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,14.830276489257812,1,3,10,0.35,0.0006084700122415443,1.5055873060237694e-05,128
11,18.61884117126465,0,6,11,0.15000000000000002,1.0453436254523374e-05,1.1931369372076824e-06,256
12,15.376160621643066,0,4,17,0.2,0.00032080388994744987,5.471670626414296e-06,128
13,17.422666549682617,2,5,13,0.35,8.883116653692035e-05,3.0489914090667483e-05,256
14,14.895759582519531,0,5,7,0.1,0.0003891872251567368,1.3062568372245634e-06,256
15,15.291714668273926,1,4,15,0.4,0.0001607246211327509,4.684397768328338e-05,128
16,17.865440368652344,2,2,11,0.25,1.1102011285321285e-05,3.330891915154359e-06,128
17,15.182235717773438,0,6,8,0.30000000000000004,5.9106346065127834e-05,1.689419539159345e-05,256
18,35.34571838378906,1,5,12,0.2,1.8839064510378583e-05,6.986228381681101e-06,1024
19,15.834590911865234,2,4,16,0.4,0.00016308396629744683,0.0009510925914371872,256
20,14.982175827026367,0,6,10,0.15000000000000002,0.0004955441001858274,2.3847943384326386e-06,128
21,15.129890441894531,1,3,9,0.35,0.0009664431951399816,1.8520702759418576e-05,128
22,15.401926040649414,1,2,14,0.30000000000000004,0.0005675421956791761,1.2516924757290356e-05,128
23,14.876935005187988,0,2,12,0.4,0.0006412358633324001,6.81936473903754e-05,128
24,14.950178146362305,1,3,6,0.35,0.00021868275463410623,2.2647257741890363e-05,128
25,15.453357696533203,0,4,9,0.30000000000000004,0.00036962295396067305,4.690940236445888e-06,128
26,15.983545303344727,1,3,14,0.45000000000000007,0.000753093399455353,8.904729333942515e-06,256
27,38.302528381347656,0,5,10,0.2,0.00010673704040592022,1.9496626991517473e-06,1024
28,14.908675193786621,2,3,17,0.45000000000000007,0.00046761504647196305,1.3148294569811011e-05,128
29,16.07624626159668,1,2,3,0.35,1.9945122193516552e-05,3.939089478481893e-06,256
