trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
9,14.639326095581055,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
1,14.749744415283203,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
10,14.830276489257812,1,3,10,0.35,0.0006084700122415443,1.5055873060237694e-05,128
23,14.876935005187988,0,2,12,0.4,0.0006412358633324001,6.81936473903754e-05,128
14,14.895759582519531,0,5,7,0.1,0.0003891872251567368,1.3062568372245634e-06,256
28,14.908675193786621,2,3,17,0.45000000000000007,0.00046761504647196305,1.3148294569811011e-05,128
24,14.950178146362305,1,3,6,0.35,0.00021868275463410623,2.2647257741890363e-05,128
20,14.982175827026367,0,6,10,0.15000000000000002,0.0004955441001858274,2.3847943384326386e-06,128
21,15.129890441894531,1,3,9,0.35,0.0009664431951399816,1.8520702759418576e-05,128
17,15.182235717773438,0,6,8,0.30000000000000004,5.9106346065127834e-05,1.689419539159345e-05,256
