trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,26.691591262817383,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,26.391237258911133,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,26.316648483276367,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,25.85003089904785,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,26.419830322265625,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,27.285295486450195,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,26.357074737548828,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,25.925212860107422,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,26.242053985595703,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,25.889196395874023,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,25.926010131835938,2,2,8,0.4,0.0009285225829404774,0.0005284384205738847,512
11,25.86830711364746,2,3,10,0.35,0.0007791470666172773,2.3537840055799044e-05,128
12,25.855318069458008,2,2,10,0.4,0.000793334434784632,1.4547307271298103e-05,128
13,25.797870635986328,3,0,4,0.45000000000000007,0.0005326821024124067,1.1321324224614208e-06,128
14,25.907453536987305,3,0,3,0.5,0.000404481901285361,0.0009728369068833832,128
15,25.967336654663086,3,1,3,0.45000000000000007,0.0004685153110304997,1.4413716573840048e-06,512
16,25.98293113708496,4,0,3,0.45000000000000007,0.00015107653087335611,1.032125669810778e-06,256
17,25.978397369384766,3,2,6,0.25,0.00021672546678370871,5.2087873281569685e-06,1024
18,26.703407287597656,1,1,1,0.4,1.0655295710511918e-05,5.0975710047155464e-05,512
19,25.840864181518555,2,0,7,0.30000000000000004,0.000524198578235047,0.00024413628451599434,128
20,26.055606842041016,2,0,7,0.2,8.364133172092413e-05,0.00010989113742335742,128
21,26.005949020385742,2,0,2,0.30000000000000004,0.0005516428986393521,0.00029778078918976463,128
22,25.805286407470703,3,1,5,0.45000000000000007,0.0005665033272450019,6.2540750964208e-05,128
23,25.852834701538086,4,0,10,0.30000000000000004,0.0005742269368093641,5.571587421062083e-05,128
24,25.924406051635742,2,2,5,0.4,0.00029253928402241607,8.145106493262025e-05,128
25,25.902673721313477,3,1,8,0.45000000000000007,0.00019332671445500597,1.6410270697569724e-05,128
26,25.992656707763672,1,0,4,0.35,0.0005824269915884998,6.992934972302679e-06,128
27,26.122526168823242,3,1,7,0.15000000000000002,0.0002902633280437206,0.0001787314629536501,128
28,25.94732666015625,2,3,9,0.45000000000000007,0.00012228967992585497,0.00035518484775959384,128
29,25.95540428161621,1,2,6,0.35,5.6525769205675546e-05,1.920013430178583e-06,256
