trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
13,25.797870635986328,3,0,4,0.45000000000000007,0.0005326821024124067,1.1321324224614208e-06,128
22,25.805286407470703,3,1,5,0.45000000000000007,0.0005665033272450019,6.2540750964208e-05,128
19,25.840864181518555,2,0,7,0.30000000000000004,0.000524198578235047,0.00024413628451599434,128
3,25.85003089904785,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
23,25.852834701538086,4,0,10,0.30000000000000004,0.0005742269368093641,5.571587421062083e-05,128
12,25.855318069458008,2,2,10,0.4,0.000793334434784632,1.4547307271298103e-05,128
11,25.86830711364746,2,3,10,0.35,0.0007791470666172773,2.3537840055799044e-05,128
9,25.889196395874023,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
25,25.902673721313477,3,1,8,0.45000000000000007,0.00019332671445500597,1.6410270697569724e-05,128
14,25.907453536987305,3,0,3,0.5,0.000404481901285361,0.0009728369068833832,128
