trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,18.76314353942871,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,18.809986114501953,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,18.819643020629883,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,18.70941734313965,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,21.988618850708008,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,18.628671646118164,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,18.98004150390625,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,18.69319725036621,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,18.865835189819336,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,18.557493209838867,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,18.352975845336914,1,3,10,0.35,0.0006084700122415443,1.5055873060237694e-05,128
11,18.349157333374023,1,3,10,0.35,0.0007568882097725556,1.7034768500539467e-05,128
12,18.42245101928711,1,3,9,0.4,0.0008346639415819694,1.2088179189460858e-05,128
13,18.375207901000977,2,3,10,0.30000000000000004,0.0003719777412883037,1.1538327053251592e-06,128
14,18.867889404296875,2,2,7,0.4,0.0005613896859615301,1.9772186450519866e-05,128
15,18.4908504486084,1,4,11,0.25,0.0001602435237255555,5.542899401058909e-06,128
16,18.79296112060547,2,2,7,0.35,0.0009872905252898065,2.9500874786774603e-05,128
17,18.999954223632812,1,2,17,0.2,0.0004582893904402949,6.255886770456207e-05,128
18,18.69882583618164,0,5,11,0.4,0.0002062009247601099,1.2068605164306055e-06,256
19,18.899803161621094,1,5,3,0.30000000000000004,8.27212016230963e-05,1.3552906869901837e-05,1024
20,18.296058654785156,2,2,8,0.45000000000000007,0.0005555435669605318,6.045469052858385e-06,128
21,18.476131439208984,2,2,8,0.45000000000000007,0.0006110598979973739,5.801932691289965e-06,128
22,18.3621768951416,2,3,11,0.45000000000000007,0.0006014827351957476,2.8759006212562134e-06,128
23,18.412065505981445,1,4,6,0.35,0.00027785749049236114,6.6151155586794275e-06,128
24,18.51556968688965,3,2,9,0.4,0.0004284998410969083,1.9495019626560355e-05,128
25,18.44664764404297,2,0,10,0.30000000000000004,0.00012425753954364136,1.8360802212250209e-06,128
26,19.367944717407227,1,3,4,0.45000000000000007,1.384478540948663e-05,5.417759918431466e-05,128
27,19.35733985900879,0,1,8,0.35,0.0007159385717016316,1.808253983190987e-05,1024
28,18.166885375976562,2,2,12,0.4,0.0003008187918761799,8.263222433724075e-06,256
29,18.51191520690918,2,2,12,0.4,0.0002744551888856515,3.0792172730167894e-06,256
