trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,17.918338775634766,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,17.978078842163086,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,17.97736167907715,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,17.974950790405273,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,18.32549476623535,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,18.78225326538086,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,17.987567901611328,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,17.638391494750977,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,17.74561309814453,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,17.504653930664062,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,17.515666961669922,1,3,10,0.35,0.0006084700122415443,1.5055873060237694e-05,128
11,17.511699676513672,1,3,10,0.35,0.0007568882097725556,1.7034768500539467e-05,128
12,17.539756774902344,0,4,10,0.4,0.0004414973500475081,3.584903725849027e-05,128
13,17.84267807006836,2,2,8,0.30000000000000004,0.0003209584308143897,1.1538327053251592e-06,128
14,17.65534210205078,1,4,17,0.4,0.00017113402916309452,1.1468235069034277e-05,128
15,17.392187118530273,2,5,11,0.25,0.0009818247569037453,7.820833328059738e-05,128
16,17.72484016418457,2,5,12,0.2,0.0009839254902833609,7.159431968896381e-05,128
17,17.718374252319336,2,5,6,0.2,0.0004375177311542486,0.00048737208163165903,128
18,18.287912368774414,0,5,12,0.30000000000000004,9.417167795647006e-05,5.8312054907724634e-05,256
19,17.942638397216797,3,4,8,0.25,0.000211626630924145,0.0009675208815183083,1024
20,18.29964256286621,2,6,15,0.1,0.0004695934684770613,2.4278702195517563e-05,128
21,17.726837158203125,1,2,10,0.35,0.0006729873359604213,2.1311182371819794e-05,128
22,17.761220932006836,1,3,11,0.30000000000000004,0.0009966416171324649,7.1298527487291914e-06,128
23,17.96483612060547,0,2,8,0.4,0.0006412358633324001,0.0001242481468574075,128
24,17.550350189208984,1,3,12,0.35,0.00032658369339496024,3.7336861757628753e-05,128
25,17.397279739379883,2,4,6,0.2,0.000517902324970363,1.813090126773884e-05,128
26,17.624217987060547,2,4,4,0.2,0.0004731329841646564,5.624400009665198e-06,128
27,17.77768898010254,3,5,3,0.15000000000000002,0.00013676873665154361,5.841341561651732e-05,1024
28,17.646774291992188,4,4,7,0.25,0.00032266771162190307,2.893078112423803e-05,256
29,17.707820892333984,2,6,13,0.15000000000000002,1.1975706288006917e-05,1.920013430178583e-06,256
