trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
15,17.392187118530273,2,5,11,0.25,0.0009818247569037453,7.820833328059738e-05,128
25,17.397279739379883,2,4,6,0.2,0.000517902324970363,1.813090126773884e-05,128
9,17.504653930664062,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
11,17.511699676513672,1,3,10,0.35,0.0007568882097725556,1.7034768500539467e-05,128
10,17.515666961669922,1,3,10,0.35,0.0006084700122415443,1.5055873060237694e-05,128
12,17.539756774902344,0,4,10,0.4,0.0004414973500475081,3.584903725849027e-05,128
24,17.550350189208984,1,3,12,0.35,0.00032658369339496024,3.7336861757628753e-05,128
26,17.624217987060547,2,4,4,0.2,0.0004731329841646564,5.624400009665198e-06,128
7,17.638391494750977,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
28,17.646774291992188,4,4,7,0.25,0.00032266771162190307,2.893078112423803e-05,256
