trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,15.554376602172852,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,14.252923965454102,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,14.374115943908691,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,14.166847229003906,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,16.19830894470215,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,15.060522079467773,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,15.01274299621582,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,14.32507610321045,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,14.339385986328125,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,13.891226768493652,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,14.08049488067627,1,3,10,0.35,0.0006084700122415443,1.5055873060237694e-05,128
11,14.394111633300781,1,3,10,0.35,0.0007568882097725556,1.7034768500539467e-05,128
12,14.659857749938965,0,4,10,0.4,0.0003150270206344204,3.584903725849027e-05,128
13,13.794820785522461,2,2,8,0.30000000000000004,0.0003619125620712102,1.136516683735133e-06,128
14,13.857182502746582,2,2,7,0.25,0.0003345732033154578,1.7371058720793197e-06,128
15,13.86795711517334,2,2,6,0.2,0.00016562227489399668,1.3119517299594344e-06,128
16,13.7532320022583,2,2,8,0.25,0.0004894057592170779,1.012731362573195e-06,128
17,14.110650062561035,2,0,3,0.30000000000000004,0.00010481559453327918,1.0332855569626115e-06,128
18,14.067184448242188,3,2,8,0.2,0.0005622126587117184,5.905748771400688e-06,256
19,14.110617637634277,2,1,3,0.30000000000000004,0.0005103133626550504,2.4186390102303445e-06,1024
20,13.90357494354248,3,2,9,0.2,0.00019903975728335097,7.538566014146582e-06,128
21,13.924559593200684,2,2,7,0.25,0.0003935461796991314,1.7820326389437182e-06,128
22,13.684011459350586,2,3,8,0.25,0.0009916771426874767,4.505396569023587e-06,128
23,13.895315170288086,1,3,11,0.15000000000000002,0.000922193005587211,4.177628127698847e-06,128
24,13.602697372436523,2,3,8,0.30000000000000004,0.0009562703724853102,1.0016468890548494e-06,128
25,14.173049926757812,2,5,4,0.4,0.0008693801653136926,2.466799028894169e-06,128
26,13.976255416870117,3,4,12,0.15000000000000002,0.0005312443860865522,4.3873330972316775e-06,128
27,13.857172012329102,1,3,7,0.2,0.0009655903330029565,1.92332590337352e-06,1024
28,13.901768684387207,2,5,9,0.25,0.0006400826754918498,1.2543264376987469e-05,256
29,15.199382781982422,1,3,17,0.4,1.1975706288006917e-05,2.8339902930885642e-06,256
