trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
24,13.602697372436523,2,3,8,0.30000000000000004,0.0009562703724853102,1.0016468890548494e-06,128
22,13.684011459350586,2,3,8,0.25,0.0009916771426874767,4.505396569023587e-06,128
16,13.7532320022583,2,2,8,0.25,0.0004894057592170779,1.012731362573195e-06,128
13,13.794820785522461,2,2,8,0.30000000000000004,0.0003619125620712102,1.136516683735133e-06,128
27,13.857172012329102,1,3,7,0.2,0.0009655903330029565,1.92332590337352e-06,1024
14,13.857182502746582,2,2,7,0.25,0.0003345732033154578,1.7371058720793197e-06,128
15,13.86795711517334,2,2,6,0.2,0.00016562227489399668,1.3119517299594344e-06,128
9,13.891226768493652,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
23,13.895315170288086,1,3,11,0.15000000000000002,0.000922193005587211,4.177628127698847e-06,128
28,13.901768684387207,2,5,9,0.25,0.0006400826754918498,1.2543264376987469e-05,256
