trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,10.842917442321777,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,10.078901290893555,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,10.185213088989258,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,9.906699180603027,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,10.710400581359863,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,10.80704402923584,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,10.421182632446289,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,9.868937492370605,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,10.144804954528809,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,9.761910438537598,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,9.714975357055664,1,3,10,0.35,0.0006084700122415443,1.5055873060237694e-05,128
11,9.63780689239502,1,3,10,0.35,0.0007568882097725556,1.7034768500539467e-05,128
12,9.61130428314209,1,3,9,0.4,0.0008346639415819694,1.2088179189460858e-05,128
13,9.550341606140137,2,3,9,0.4,0.0009740646200040044,1.1113129638550507e-06,128
14,9.844526290893555,2,2,7,0.4,0.00036816990911136595,1.5873128009203446e-06,128
15,9.725737571716309,2,4,8,0.4,0.0009818247569037453,1.3144124963880187e-06,128
16,10.038653373718262,2,2,11,0.25,0.0001442554065073416,5.5017980933962125e-06,128
17,9.799598693847656,1,2,5,0.45000000000000007,0.0004525991022753236,1.0332855569626115e-06,128
18,10.046958923339844,2,5,3,0.30000000000000004,0.0002062009247601099,5.786967645814677e-05,256
19,10.888662338256836,3,5,7,0.4,7.255988391946224e-05,6.508552200806673e-06,1024
20,9.598038673400879,1,2,17,0.45000000000000007,0.0004896693263454789,2.4943078973359283e-06,128
21,9.763163566589355,1,2,16,0.45000000000000007,0.000549813015616558,3.1411787673560925e-06,128
22,9.812609672546387,2,3,17,0.45000000000000007,0.0009973454411995998,2.158791299814453e-06,128
23,9.74399471282959,0,4,11,0.4,0.0005915345557674164,6.540527392436127e-06,128
24,9.728238105773926,1,2,9,0.30000000000000004,0.0002968835783743785,1.0017395044310547e-06,128
25,9.720499038696289,2,0,12,0.45000000000000007,0.0005100161477270827,1.5148402296524792e-05,128
26,10.139266967773438,1,3,3,0.4,1.384478540948663e-05,2.1671243563890022e-06,128
27,9.823005676269531,0,1,7,0.5,0.0007118469110311093,3.99479841017862e-06,1024
28,9.823312759399414,2,2,8,0.30000000000000004,0.0003979521678167821,1.0356755794533309e-05,256
29,10.520575523376465,1,3,14,0.35,0.00021806915807933656,2.143746356012188e-06,256
