trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,14.931916236877441,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,14.658164024353027,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,14.767008781433105,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,14.559236526489258,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,14.976805686950684,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,15.830131530761719,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,15.06064224243164,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,14.468178749084473,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,14.627307891845703,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,14.53862476348877,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,14.514108657836914,2,2,8,0.4,0.00029373337029087843,1.3831805735878796e-05,128
11,14.641940116882324,2,2,9,0.4,0.00029874483731193185,1.5884701145417315e-05,128
12,14.509271621704102,2,2,8,0.4,0.0006818535585355526,1.1419607121942154e-06,128
13,14.541565895080566,3,0,4,0.4,0.0009698028435675352,1.0411320467198415e-06,128
14,14.5036039352417,2,2,9,0.45000000000000007,0.0005416945129401772,0.0009619959385515669,128
15,14.57864761352539,3,1,11,0.45000000000000007,0.00013669009581463403,0.0009961465908255426,128
16,14.538352966308594,1,3,2,0.30000000000000004,0.0004894057592170779,0.00018473954685740437,128
17,14.508091926574707,4,1,10,0.45000000000000007,0.0001926300832284274,0.00043285719852952066,128
18,14.609214782714844,3,2,7,0.45000000000000007,8.315150614502709e-05,7.589186068010158e-05,256
19,14.733731269836426,2,0,3,0.30000000000000004,0.000531706589963315,0.0009934386032656663,1024
20,14.6648530960083,1,4,6,0.2,0.000212743417949484,0.00011278839117776945,128
21,14.441323280334473,4,1,10,0.45000000000000007,0.00019644023414149852,0.000454023442379329,128
22,15.538719177246094,4,1,11,0.45000000000000007,0.00011466658053631316,0.00046592532837779507,128
23,14.421714782714844,4,2,10,0.35,0.0004115506976541771,0.00039649861772244385,128
24,14.494609832763672,4,0,17,0.35,0.0002490458341926301,0.0003099708590158463,128
25,14.613750457763672,4,3,11,0.35,0.00036567730695384,0.00014359762176049492,128
26,14.671944618225098,3,1,7,0.5,5.377047924700229e-05,5.4047349344491296e-05,128
27,14.810057640075684,4,2,12,0.4,0.00016612846463044396,0.000398025311662585,1024
28,14.659727096557617,3,1,10,0.25,0.0004424317694436698,0.00018461996376080843,256
29,16.055458068847656,4,0,13,0.30000000000000004,1.1975706288006917e-05,0.0006686952332095785,256
