trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
23,14.421714782714844,4,2,10,0.35,0.0004115506976541771,0.00039649861772244385,128
21,14.441323280334473,4,1,10,0.45000000000000007,0.00019644023414149852,0.000454023442379329,128
7,14.468178749084473,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
24,14.494609832763672,4,0,17,0.35,0.0002490458341926301,0.0003099708590158463,128
14,14.5036039352417,2,2,9,0.45000000000000007,0.0005416945129401772,0.0009619959385515669,128
17,14.508091926574707,4,1,10,0.45000000000000007,0.0001926300832284274,0.00043285719852952066,128
12,14.509271621704102,2,2,8,0.4,0.0006818535585355526,1.1419607121942154e-06,128
10,14.514108657836914,2,2,8,0.4,0.00029373337029087843,1.3831805735878796e-05,128
16,14.538352966308594,1,3,2,0.30000000000000004,0.0004894057592170779,0.00018473954685740437,128
9,14.53862476348877,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
