trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,18.90217399597168,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,17.8828067779541,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,18.792402267456055,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,18.19442367553711,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,20.410343170166016,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,19.290557861328125,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,20.462223052978516,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,17.971935272216797,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,19.166534423828125,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,18.158775329589844,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,18.24541473388672,1,6,9,0.1,1.0779341156866284e-05,1.3066991237907006e-06,256
11,18.98847198486328,2,2,9,0.2,0.0002479201332659857,7.211897577223308e-06,128
12,17.95806312561035,3,2,5,0.4,0.0005923870959003146,1.7307256296985095e-05,128
13,17.9053897857666,2,3,5,0.4,0.0009560300743186867,1.2088473801778395e-05,256
14,18.30889129638672,2,4,17,0.15000000000000002,8.264688541992768e-05,5.230809467554795e-06,256
15,19.345237731933594,0,3,11,0.30000000000000004,1.1113423237548822e-05,1.6017105971629495e-06,256
16,18.383115768432617,2,5,6,0.4,0.0001246692504336401,2.9452617790301996e-06,256
17,18.733749389648438,1,3,3,0.2,5.9106346065127834e-05,1.9410471012483687e-05,256
18,18.415470123291016,0,5,8,0.30000000000000004,1.8839064510378583e-05,5.107259235263383e-05,256
19,18.02435302734375,2,2,11,0.4,0.0004336727337636819,1.3552906869901837e-05,256
20,19.215152740478516,1,6,3,0.15000000000000002,0.0008749096909683342,4.734557562358427e-06,1024
21,18.19167137145996,3,2,7,0.4,0.0006270460680224091,1.9367952175542642e-05,128
22,17.923194885253906,4,3,3,0.35,0.0005665033272450019,2.910041105590528e-06,128
23,17.81829071044922,4,3,3,0.35,0.00020019842711894228,2.608013398898723e-06,128
24,18.3359375,4,4,2,0.45000000000000007,0.00016770402809935698,1.0159844672151186e-06,256
25,18.0965518951416,2,3,11,0.30000000000000004,0.0002239264965752891,2.2297473917275667e-06,256
26,18.159671783447266,2,5,4,0.25,5.377047924700229e-05,6.145035042434961e-06,128
27,21.929851531982422,1,4,7,0.45000000000000007,2.1772211993223886e-05,8.674196740160223e-06,1024
28,18.190967559814453,3,0,15,0.35,0.00032266771162190307,4.197313611157905e-06,256
29,18.380226135253906,1,6,7,0.2,1.9945122193516552e-05,2.0716129478020037e-06,256
