trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
23,17.81829071044922,4,3,3,0.35,0.00020019842711894228,2.608013398898723e-06,128
1,17.8828067779541,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
13,17.9053897857666,2,3,5,0.4,0.0009560300743186867,1.2088473801778395e-05,256
22,17.923194885253906,4,3,3,0.35,0.0005665033272450019,2.910041105590528e-06,128
12,17.95806312561035,3,2,5,0.4,0.0005923870959003146,1.7307256296985095e-05,128
7,17.971935272216797,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
19,18.02435302734375,2,2,11,0.4,0.0004336727337636819,1.3552906869901837e-05,256
25,18.0965518951416,2,3,11,0.30000000000000004,0.0002239264965752891,2.2297473917275667e-06,256
9,18.158775329589844,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
26,18.159671783447266,2,5,4,0.25,5.377047924700229e-05,6.145035042434961e-06,128
