trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,19.053142547607422,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,18.848623275756836,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,18.881071090698242,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,18.863513946533203,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,21.447052001953125,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,19.78204917907715,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,19.290424346923828,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,18.725507736206055,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,18.693044662475586,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,18.663557052612305,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,18.720626831054688,1,3,10,0.35,0.0006084700122415443,1.5055873060237694e-05,128
11,18.602127075195312,4,4,6,0.15000000000000002,7.595265431865974e-05,1.1555932239009817e-05,128
12,18.640920639038086,2,4,9,0.2,0.0003150270206344204,1.1204437779131367e-06,128
13,18.510534286499023,2,3,8,0.15000000000000002,8.883116653692035e-05,1.0300531034894948e-06,128
14,18.667070388793945,2,2,6,0.1,7.903976167820217e-05,1.5704725145293573e-06,128
15,18.77880096435547,3,5,3,0.2,1.084772987657081e-05,7.271426479868015e-06,128
16,18.684614181518555,4,2,7,0.15000000000000002,0.00012754002523998278,3.825639705953813e-06,128
17,18.865859985351562,2,5,11,0.15000000000000002,6.078274149751616e-05,3.3323134743665e-05,128
18,18.817214965820312,3,3,8,0.25,0.00020357823498346313,1.466586166976249e-05,256
19,18.83176040649414,1,2,3,0.1,0.00010585093243938013,1.970308407074852e-06,1024
20,18.65471649169922,2,4,3,0.30000000000000004,5.675340745421165e-05,6.704612624395399e-05,128
21,18.73876190185547,2,4,10,0.2,0.0003935461796991314,1.0883479244730709e-06,128
22,18.465280532836914,2,4,9,0.2,0.00016520664493842945,1.1518194321466126e-06,128
23,18.67664909362793,1,3,8,0.15000000000000002,0.00015680840952554543,6.265540950695297e-06,128
24,18.62816619873047,2,5,6,0.2,9.625176792972594e-05,2.093839582818306e-06,128
25,18.840227127075195,3,3,12,0.30000000000000004,5.521075181060955e-05,5.555038746194029e-06,128
26,18.416397094726562,2,4,9,0.15000000000000002,0.0002331894180099459,2.506979521537199e-06,128
27,18.905242919921875,2,2,9,0.1,0.00047263115001148126,1.0324229840536074e-06,1024
28,18.720741271972656,2,5,11,0.25,0.00019728776398960016,2.490259698134515e-06,256
29,18.969371795654297,1,6,17,0.2,0.0002387245630775044,3.705149644395784e-06,256
