trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
26,18.416397094726562,2,4,9,0.15000000000000002,0.0002331894180099459,2.506979521537199e-06,128
22,18.465280532836914,2,4,9,0.2,0.00016520664493842945,1.1518194321466126e-06,128
13,18.510534286499023,2,3,8,0.15000000000000002,8.883116653692035e-05,1.0300531034894948e-06,128
11,18.602127075195312,4,4,6,0.15000000000000002,7.595265431865974e-05,1.1555932239009817e-05,128
24,18.62816619873047,2,5,6,0.2,9.625176792972594e-05,2.093839582818306e-06,128
12,18.640920639038086,2,4,9,0.2,0.0003150270206344204,1.1204437779131367e-06,128
20,18.65471649169922,2,4,3,0.30000000000000004,5.675340745421165e-05,6.704612624395399e-05,128
9,18.663557052612305,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
14,18.667070388793945,2,2,6,0.1,7.903976167820217e-05,1.5704725145293573e-06,128
23,18.67664909362793,1,3,8,0.15000000000000002,0.00015680840952554543,6.265540950695297e-06,128
