trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,tweedie_p,dropout,lr,wd,bs
0,11.627050399780273,1,6,13,1.6,0.15000000000000002,2.0511104188433963e-05,1.493656855461763e-06,128
1,11.206838607788086,4,5,3,1.2000000000000002,0.15000000000000002,4.059611610484306e-05,3.752055855124284e-05,512
2,12.214395523071289,1,2,8,1.75,0.15000000000000002,0.00010677482709481354,5.987474910461405e-05,256
3,12.01027774810791,4,6,14,1.3,0.1,0.000233596350262616,2.091498132903561e-05,1024
4,11.432246208190918,1,4,5,1.5,0.30000000000000004,2.3426581058204037e-05,0.0008105016126411582,256
5,11.474924087524414,4,0,3,1.05,0.2,5.989003672254293e-05,6.516990611177181e-06,128
6,11.451251983642578,0,5,1,1.95,0.4,2.497073714505272e-05,1.0388823104027941e-06,128
7,11.381319046020508,0,2,2,1.85,0.35,4.589824181495648e-05,1.5512259126484753e-06,512
8,11.521559715270996,4,3,2,1.7000000000000002,0.4,0.0001326033192269654,0.00020554245520150764,256
9,12.310869216918945,0,0,11,1.3,0.30000000000000004,0.0006533305220227731,5.595986878006084e-06,256
10,12.095027923583984,3,4,17,1.05,0.2,1.1952270129143866e-05,9.186066145996928e-05,512
11,11.641403198242188,2,2,6,1.3,0.45000000000000007,5.1996262844747956e-05,1.4655627218561615e-05,512
12,11.717320442199707,3,2,0,1.95,0.35,4.913460742665322e-05,4.28169597190919e-06,512
13,12.030223846435547,2,1,5,1.2000000000000002,0.5,0.00021601863672613563,0.00025105429227439014,512
14,12.037406921386719,3,4,8,1.4500000000000002,0.25,4.044758550598602e-05,4.415515965530598e-05,512
15,15.184319496154785,0,3,3,1.8,0.35,1.2602492735790179e-05,1.146974105077607e-05,1024
16,11.296977996826172,2,5,4,1.6,0.25,0.0009006020499939699,3.04819115643719e-06,512
17,11.791068077087402,2,5,6,1.4000000000000001,0.1,0.0008048058400676395,3.2600925087663267e-06,512
18,11.672629356384277,3,5,4,1.6,0.25,0.0004246072557261024,2.66533302482984e-05,512
19,11.924174308776855,3,6,10,1.6,0.2,0.0003482661245562659,0.00014370143468044275,1024
20,11.034210205078125,1,5,0,1.1500000000000001,0.15000000000000002,8.21288185930582e-05,0.0004823664824584838,512
21,11.204276084899902,1,5,0,1.1500000000000001,0.15000000000000002,0.00014650070030823378,0.000987786078217828,512
22,11.94094467163086,1,4,0,1.1500000000000001,0.15000000000000002,8.72084858504081e-05,0.0009351367081847872,512
23,11.475449562072754,1,5,0,1.1500000000000001,0.1,0.00016720026159421122,0.00047832740948242514,512
24,10.782236099243164,1,6,2,1.2000000000000002,0.15000000000000002,9.569055730132838e-05,0.0004333900316845036,512
25,11.363636016845703,1,6,1,1.1,0.2,8.120733457573976e-05,0.00043070559811355904,512
26,11.549115180969238,1,6,1,1.25,0.1,0.00014536994169713055,0.0004517206086192611,512
27,11.544827461242676,2,4,2,1.4000000000000001,0.15000000000000002,7.640871693590576e-05,0.0006798448648051497,1024
28,11.65361213684082,0,6,0,1.35,0.25,0.0002858743968902338,0.00026503151995644486,128
29,11.079760551452637,1,5,6,1.1500000000000001,0.15000000000000002,0.00011541611148960208,0.00013048338125579295,128
