trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,tweedie_p,dropout,lr,wd,bs
0,27.962677001953125,1,6,13,1.6,0.15000000000000002,2.0511104188433963e-05,1.493656855461763e-06,128
1,27.772897720336914,4,5,3,1.2000000000000002,0.15000000000000002,4.059611610484306e-05,3.752055855124284e-05,512
2,27.915807723999023,1,2,8,1.75,0.15000000000000002,0.00010677482709481354,5.987474910461405e-05,256
3,27.795324325561523,4,6,14,1.3,0.1,0.000233596350262616,2.091498132903561e-05,1024
4,28.18546485900879,1,4,5,1.5,0.30000000000000004,2.3426581058204037e-05,0.0008105016126411582,256
5,27.875150680541992,4,0,3,1.05,0.2,5.989003672254293e-05,6.516990611177181e-06,128
6,28.220375061035156,0,5,1,1.95,0.4,2.497073714505272e-05,1.0388823104027941e-06,128
7,28.148635864257812,0,2,2,1.85,0.35,4.589824181495648e-05,1.5512259126484753e-06,512
8,27.838930130004883,4,3,2,1.7000000000000002,0.4,0.0001326033192269654,0.00020554245520150764,256
9,28.036880493164062,0,0,11,1.3,0.30000000000000004,0.0006533305220227731,5.595986878006084e-06,256
10,28.076881408691406,3,4,17,1.05,0.2,1.1952270129143866e-05,9.186066145996928e-05,512
11,27.768016815185547,3,6,17,1.3,0.1,0.00024263865280239123,1.7158268189057222e-05,1024
12,28.015623092651367,3,5,7,1.3,0.5,0.00038165556248635226,1.3380968175384167e-05,1024
13,27.971769332885742,3,6,10,1.2000000000000002,0.1,0.00021601863672613563,4.405682664169058e-05,1024
14,27.85193634033203,2,5,17,1.4500000000000002,0.2,0.0008524636948952178,0.0001884665879772017,512
15,27.986223220825195,3,4,5,1.2000000000000002,0.1,5.588932318249401e-05,1.146974105077607e-05,512
16,27.9210147857666,2,5,5,1.4500000000000002,0.25,0.0001926300832284274,2.7854916239072644e-05,1024
17,27.810129165649414,4,6,0,1.1500000000000001,0.15000000000000002,0.0004152635478205397,3.4337852849745457e-06,512
18,28.07923698425293,3,3,14,1.35,0.25,8.075834539791699e-05,0.00016545791550203156,1024
19,28.09035873413086,4,2,10,1.1500000000000001,0.1,4.146925346051639e-05,0.0006032936984631031,512
20,27.824810028076172,2,4,7,1.4000000000000001,0.5,0.00036365256024882347,9.138414897834403e-05,1024
21,27.93160057067871,4,6,15,1.25,0.1,0.00020558169024361013,1.851553427806356e-05,1024
22,27.858280181884766,4,6,15,1.55,0.15000000000000002,0.00014344177892050482,2.9407880593658378e-05,1024
23,27.87105941772461,3,5,13,1.35,0.1,0.00024374877155727953,8.08012714832372e-06,1024
24,27.779895782470703,4,6,17,1.1,0.15000000000000002,8.298490896292704e-05,2.207096945140719e-05,1024
25,27.971261978149414,3,5,17,1.1,0.25,8.19012613133568e-05,3.386992977578154e-06,1024
26,28.3056640625,4,6,11,1.1500000000000001,0.2,3.464206474801883e-05,5.8863957710811374e-05,512
27,27.798786163330078,2,5,15,1.25,0.15000000000000002,1.2934717297991012e-05,1.3405177820232854e-05,128
28,27.94992446899414,3,1,12,1.05,0.2,8.341757566599528e-05,3.908112438331791e-05,1024
29,28.076602935791016,4,6,16,1.6500000000000001,0.15000000000000002,1.7941849320062233e-05,0.0001021286736557214,128
