trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,tweedie_p,dropout,lr,wd,bs
11,27.768016815185547,3,6,17,1.3,0.1,0.00024263865280239123,1.7158268189057222e-05,1024
1,27.772897720336914,4,5,3,1.2000000000000002,0.15000000000000002,4.059611610484306e-05,3.752055855124284e-05,512
24,27.779895782470703,4,6,17,1.1,0.15000000000000002,8.298490896292704e-05,2.207096945140719e-05,1024
3,27.795324325561523,4,6,14,1.3,0.1,0.000233596350262616,2.091498132903561e-05,1024
27,27.798786163330078,2,5,15,1.25,0.15000000000000002,1.2934717297991012e-05,1.3405177820232854e-05,128
17,27.810129165649414,4,6,0,1.1500000000000001,0.15000000000000002,0.0004152635478205397,3.4337852849745457e-06,512
20,27.824810028076172,2,4,7,1.4000000000000001,0.5,0.00036365256024882347,9.138414897834403e-05,1024
8,27.838930130004883,4,3,2,1.7000000000000002,0.4,0.0001326033192269654,0.00020554245520150764,256
14,27.85193634033203,2,5,17,1.4500000000000002,0.2,0.0008524636948952178,0.0001884665879772017,512
22,27.858280181884766,4,6,15,1.55,0.15000000000000002,0.00014344177892050482,2.9407880593658378e-05,1024
