trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,tweedie_p,dropout,lr,wd,bs
0,14.109231948852539,1,6,13,1.6,0.15000000000000002,2.0511104188433963e-05,1.493656855461763e-06,128
1,12.68134593963623,4,5,3,1.2000000000000002,0.15000000000000002,4.059611610484306e-05,3.752055855124284e-05,512
2,13.34837818145752,1,2,8,1.75,0.15000000000000002,0.00010677482709481354,5.987474910461405e-05,256
3,13.00609302520752,4,6,14,1.3,0.1,0.000233596350262616,2.091498132903561e-05,1024
4,13.797050476074219,1,4,5,1.5,0.30000000000000004,2.3426581058204037e-05,0.0008105016126411582,256
5,12.717763900756836,4,0,3,1.05,0.2,5.989003672254293e-05,6.516990611177181e-06,128
6,13.143677711486816,0,5,1,1.95,0.4,2.497073714505272e-05,1.0388823104027941e-06,128
7,14.507929801940918,0,2,2,1.85,0.35,4.589824181495648e-05,1.5512259126484753e-06,512
8,13.20334529876709,4,3,2,1.7000000000000002,0.4,0.0001326033192269654,0.00020554245520150764,256
9,13.148608207702637,0,0,11,1.3,0.30000000000000004,0.0006533305220227731,5.595986878006084e-06,256
10,12.526376724243164,3,4,17,1.05,0.2,1.1952270129143866e-05,9.186066145996928e-05,512
11,12.61837100982666,3,4,17,1.05,0.2,1.160950593009852e-05,0.00010672850265861975,512
12,11.491826057434082,3,4,17,1.05,0.5,1.0346647559972923e-05,0.00014039234922778342,512
13,14.785859107971191,3,3,17,1.25,0.5,1.013680103976578e-05,0.00039011663045602726,512
14,12.235978126525879,3,4,14,1.1500000000000001,0.5,1.0314221604834594e-05,0.00018544906010857287,512
15,12.373860359191895,2,2,14,1.4500000000000002,0.5,0.0003415242704046113,0.00022902538153590912,1024
16,12.546277046203613,2,5,10,1.1500000000000001,0.45000000000000007,2.009147513306161e-05,0.0007969646487102556,512
17,13.15689754486084,3,1,15,1.35,0.45000000000000007,5.9915389863405913e-05,1.1889698841945615e-05,512
18,11.863753318786621,2,4,12,1.1500000000000001,0.5,3.1517665995447244e-05,0.00023806236458710973,512
19,13.717999458312988,2,3,7,1.4000000000000001,0.4,2.909858526808721e-05,0.000377194201619337,1024
20,12.059722900390625,2,5,11,1.1500000000000001,0.45000000000000007,1.5552120289980518e-05,3.906525891546146e-05,512
21,12.502001762390137,2,5,11,1.1500000000000001,0.45000000000000007,1.602513816861854e-05,4.3353516728762145e-05,512
22,12.545965194702148,2,6,12,1.2000000000000002,0.5,3.545116008108056e-05,0.00010965367246047507,512
23,12.684494972229004,1,4,9,1.1,0.45000000000000007,1.6093476505519843e-05,2.0252328820292824e-05,512
24,12.607826232910156,2,5,6,1.25,0.35,6.968835882683322e-05,7.561945215831792e-05,512
25,13.499419212341309,3,4,15,1.55,0.5,1.5457659220626405e-05,0.00039945005952089763,512
26,12.679798126220703,2,3,12,1.1,0.45000000000000007,3.303812780459505e-05,0.00013197716228885217,512
27,13.131540298461914,1,5,9,1.35,0.35,1.5522789130374017e-05,2.25245262479098e-05,1024
28,11.994149208068848,3,6,16,1.25,0.4,0.0009593019506630747,0.0002565212964181905,128
29,12.002279281616211,3,6,16,1.25,0.4,0.0008019586746606134,0.00032303757111022457,128
