trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,tweedie_p,dropout,lr,wd,bs
12,11.491826057434082,3,4,17,1.05,0.5,1.0346647559972923e-05,0.00014039234922778342,512
18,11.863753318786621,2,4,12,1.1500000000000001,0.5,3.1517665995447244e-05,0.00023806236458710973,512
28,11.994149208068848,3,6,16,1.25,0.4,0.0009593019506630747,0.0002565212964181905,128
29,12.002279281616211,3,6,16,1.25,0.4,0.0008019586746606134,0.00032303757111022457,128
20,12.059722900390625,2,5,11,1.1500000000000001,0.45000000000000007,1.5552120289980518e-05,3.906525891546146e-05,512
14,12.235978126525879,3,4,14,1.1500000000000001,0.5,1.0314221604834594e-05,0.00018544906010857287,512
15,12.373860359191895,2,2,14,1.4500000000000002,0.5,0.0003415242704046113,0.00022902538153590912,1024
21,12.502001762390137,2,5,11,1.1500000000000001,0.45000000000000007,1.602513816861854e-05,4.3353516728762145e-05,512
10,12.526376724243164,3,4,17,1.05,0.2,1.1952270129143866e-05,9.186066145996928e-05,512
22,12.545965194702148,2,6,12,1.2000000000000002,0.5,3.545116008108056e-05,0.00010965367246047507,512
