trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,tweedie_p,dropout,lr,wd,bs
18,11.70646858215332,2,4,10,1.2000000000000002,0.5,0.0008669649988590792,0.0009954175781469504,512
20,11.743570327758789,1,5,10,1.35,0.5,0.0009196002593142278,0.0004109496476776071,512
21,11.791827201843262,1,5,10,1.35,0.5,0.0009299980713537859,0.0004666800296409895,512
25,11.825647354125977,0,5,13,1.25,0.5,0.0003192100586314545,8.654336804180709e-05,512
16,11.842937469482422,2,4,8,1.1500000000000001,0.5,0.0009006020499939699,0.0006040346599793702,512
17,11.848392486572266,2,4,4,1.1500000000000001,0.5,0.0008048058400676395,1.4117109240721328e-05,512
5,11.872882843017578,4,0,3,1.05,0.2,5.989003672254293e-05,6.516990611177181e-06,128
19,11.900463104248047,2,4,11,1.2000000000000002,0.45000000000000007,0.0005021973199952922,0.0009227219162103404,512
23,11.902278900146484,1,5,14,1.4000000000000001,0.5,0.0005595251069870061,0.0001312570786385886,512
14,11.933680534362793,2,3,8,1.4500000000000002,0.4,0.0001993241226914833,0.00022375431846339912,256
