trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,tweedie_p,dropout,lr,wd,bs
0,22.065675735473633,1,6,13,1.6,0.15000000000000002,2.0511104188433963e-05,1.493656855461763e-06,128
1,21.295684814453125,4,5,3,1.2000000000000002,0.15000000000000002,4.059611610484306e-05,3.752055855124284e-05,512
2,21.011770248413086,1,2,8,1.75,0.15000000000000002,0.00010677482709481354,5.987474910461405e-05,256
3,20.905908584594727,4,6,14,1.3,0.1,0.000233596350262616,2.091498132903561e-05,1024
4,22.21817970275879,1,4,5,1.5,0.30000000000000004,2.3426581058204037e-05,0.0008105016126411582,256
5,20.837692260742188,4,0,3,1.05,0.2,5.989003672254293e-05,6.516990611177181e-06,128
6,22.4923038482666,0,5,1,1.95,0.4,2.497073714505272e-05,1.0388823104027941e-06,128
7,22.006559371948242,0,2,2,1.85,0.35,4.589824181495648e-05,1.5512259126484753e-06,512
8,21.067161560058594,4,3,2,1.7000000000000002,0.4,0.0001326033192269654,0.00020554245520150764,256
9,21.16929054260254,0,0,11,1.3,0.30000000000000004,0.0006533305220227731,5.595986878006084e-06,256
10,21.00428009033203,3,0,17,1.05,0.25,0.0003807976572767595,5.9399235826896134e-06,128
11,21.207605361938477,3,1,17,1.35,0.1,0.00025291491602952195,1.049493439606901e-05,1024
12,21.51606559753418,3,6,7,1.05,0.5,0.0002238266666693593,1.3356962213484089e-05,1024
13,22.306514739990234,4,3,13,1.2000000000000002,0.2,6.313470227142154e-05,8.714459164478094e-05,1024
14,21.734878540039062,2,1,11,1.4000000000000001,0.1,1.183811454493493e-05,1.6340950146149624e-05,128
15,21.194652557373047,3,4,5,1.2000000000000002,0.2,0.0008831658384990725,3.7988957579324854e-06,1024
16,22.010257720947266,4,4,15,1.1,0.2,0.00017382944114295625,0.00018185037986744073,1024
17,21.336313247680664,2,2,10,1.4500000000000002,0.1,0.0003691956912879433,2.314843030197605e-05,128
18,21.67816162109375,4,5,5,1.3,0.25,6.0247194447978926e-05,2.9695030054519064e-06,512
19,21.145450592041016,3,1,13,1.1500000000000001,0.25,8.79518847133326e-05,4.308431822777718e-05,128
20,21.629236221313477,2,0,0,1.55,0.15000000000000002,0.00045187992542628847,9.209021072749232e-06,1024
21,21.501340866088867,3,0,17,1.05,0.25,0.0003375517034063795,6.6491970829632704e-06,128
22,20.89643669128418,4,1,15,1.25,0.2,0.0005676076056081949,3.0898329990178516e-06,128
23,21.032499313354492,4,1,15,1.3,0.2,0.000557625312240267,2.8212558721427314e-06,128
24,21.305091857910156,4,2,9,1.25,0.1,0.0001696502676265579,2.5156238721167752e-06,128
25,21.465436935424805,4,1,15,1.1500000000000001,0.15000000000000002,0.0007865085043154644,2.0376873103578893e-05,128
26,22.010194778442383,3,0,12,1.4000000000000001,0.35,0.00025422188506136096,4.662856360669964e-06,1024
27,21.230554580688477,4,3,15,1.1500000000000001,0.2,9.039082680444433e-05,7.774750158399625e-06,512
28,21.06661605834961,2,6,6,1.25,0.5,0.0009593019506630747,2.2603310752655793e-05,128
29,21.067276000976562,4,6,14,1.4500000000000002,0.15000000000000002,3.244609078037235e-05,1.8069575052867606e-06,128
