trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,tweedie_p,dropout,lr,wd,bs
5,20.837692260742188,4,0,3,1.05,0.2,5.989003672254293e-05,6.516990611177181e-06,128
22,20.89643669128418,4,1,15,1.25,0.2,0.0005676076056081949,3.0898329990178516e-06,128
3,20.905908584594727,4,6,14,1.3,0.1,0.000233596350262616,2.091498132903561e-05,1024
10,21.00428009033203,3,0,17,1.05,0.25,0.0003807976572767595,5.9399235826896134e-06,128
2,21.011770248413086,1,2,8,1.75,0.15000000000000002,0.00010677482709481354,5.987474910461405e-05,256
23,21.032499313354492,4,1,15,1.3,0.2,0.000557625312240267,2.8212558721427314e-06,128
28,21.06661605834961,2,6,6,1.25,0.5,0.0009593019506630747,2.2603310752655793e-05,128
8,21.067161560058594,4,3,2,1.7000000000000002,0.4,0.0001326033192269654,0.00020554245520150764,256
29,21.067276000976562,4,6,14,1.4500000000000002,0.15000000000000002,3.244609078037235e-05,1.8069575052867606e-06,128
19,21.145450592041016,3,1,13,1.1500000000000001,0.25,8.79518847133326e-05,4.308431822777718e-05,128
