trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,tweedie_p,dropout,lr,wd,bs
0,31.354646682739258,1,6,13,1.6,0.15000000000000002,2.0511104188433963e-05,1.493656855461763e-06,128
1,31.679378509521484,4,5,3,1.2000000000000002,0.15000000000000002,4.059611610484306e-05,3.752055855124284e-05,512
2,31.453489303588867,1,2,8,1.75,0.15000000000000002,0.00010677482709481354,5.987474910461405e-05,256
3,33.99243927001953,4,6,14,1.3,0.1,0.000233596350262616,2.091498132903561e-05,1024
4,30.82883071899414,1,4,5,1.5,0.30000000000000004,2.3426581058204037e-05,0.0008105016126411582,256
5,30.949323654174805,4,0,3,1.05,0.2,5.989003672254293e-05,6.516990611177181e-06,128
6,31.830669403076172,0,5,1,1.95,0.4,2.497073714505272e-05,1.0388823104027941e-06,128
7,32.17896270751953,0,2,2,1.85,0.35,4.589824181495648e-05,1.5512259126484753e-06,512
8,31.838499069213867,4,3,2,1.7000000000000002,0.4,0.0001326033192269654,0.00020554245520150764,256
9,30.983835220336914,0,0,11,1.3,0.30000000000000004,0.0006533305220227731,5.595986878006084e-06,256
10,31.15313148498535,2,4,7,1.5,0.5,1.1952270129143866e-05,0.0008302980140894331,1024
11,30.353487014770508,3,0,5,1.05,0.25,6.264084029928866e-05,8.952354255131631e-06,128
12,31.194814682006836,3,2,6,1.4500000000000002,0.25,1.1291097791355626e-05,0.0007943325168236531,256
13,31.28116226196289,2,1,5,1.05,0.25,0.00022695948900296778,0.00015585972545888594,128
14,31.378765106201172,3,4,9,1.2000000000000002,0.30000000000000004,2.50912869115447e-05,4.145127621166614e-06,256
15,31.48534393310547,1,3,5,1.4000000000000001,0.4,7.098701732564435e-05,1.207053953152204e-05,128
16,32.439231872558594,3,1,17,1.55,0.5,0.0009006020499939699,0.00011050527056008281,512
17,32.188480377197266,2,4,0,1.1500000000000001,0.25,3.2483164010443824e-05,0.0004311980317420359,1024
18,31.16403579711914,1,1,10,1.6500000000000001,0.35,0.00017982068728458956,2.2009485457959556e-05,256
19,31.237682342529297,3,5,4,1.35,0.2,0.00045054131462457194,6.750226005301442e-05,128
20,30.877538681030273,2,3,7,1.8,0.35,6.713245330874406e-05,0.0003010495215013847,128
21,31.428192138671875,2,3,7,1.95,0.35,7.564901522748997e-05,0.0003041525190606763,128
22,30.30101776123047,2,4,6,1.85,0.30000000000000004,1.7568329327232868e-05,0.00044954301227280837,128
23,33.472206115722656,1,4,5,1.85,0.30000000000000004,1.687518642613999e-05,0.0009976331834779181,128
24,31.202194213867188,3,5,9,1.6,0.25,1.6746442224753034e-05,0.0005051820468833858,128
25,30.733348846435547,2,4,4,1.5,0.2,3.631864885307207e-05,1.14065977034733e-05,256
26,32.780269622802734,2,3,3,1.7000000000000002,0.2,3.7735522858689616e-05,1.1145478050043772e-05,1024
27,31.32576560974121,3,2,6,1.1500000000000001,0.1,4.6338457332489454e-05,3.342104174307528e-06,512
28,31.805906295776367,3,5,0,1.3,0.2,1.4723231641472123e-05,9.787442132094617e-06,128
29,31.70931625366211,2,6,12,1.6,0.15000000000000002,3.183792106308894e-05,2.096328778443946e-05,128
