trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,tweedie_p,dropout,lr,wd,bs
22,30.30101776123047,2,4,6,1.85,0.30000000000000004,1.7568329327232868e-05,0.00044954301227280837,128
11,30.353487014770508,3,0,5,1.05,0.25,6.264084029928866e-05,8.952354255131631e-06,128
25,30.733348846435547,2,4,4,1.5,0.2,3.631864885307207e-05,1.14065977034733e-05,256
4,30.82883071899414,1,4,5,1.5,0.30000000000000004,2.3426581058204037e-05,0.0008105016126411582,256
20,30.877538681030273,2,3,7,1.8,0.35,6.713245330874406e-05,0.0003010495215013847,128
5,30.949323654174805,4,0,3,1.05,0.2,5.989003672254293e-05,6.516990611177181e-06,128
9,30.983835220336914,0,0,11,1.3,0.30000000000000004,0.0006533305220227731,5.595986878006084e-06,256
10,31.15313148498535,2,4,7,1.5,0.5,1.1952270129143866e-05,0.0008302980140894331,1024
18,31.16403579711914,1,1,10,1.6500000000000001,0.35,0.00017982068728458956,2.2009485457959556e-05,256
12,31.194814682006836,3,2,6,1.4500000000000002,0.25,1.1291097791355626e-05,0.0007943325168236531,256
