trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,tweedie_p,dropout,lr,wd,bs
0,16.869945526123047,1,6,13,1.6,0.15000000000000002,2.0511104188433963e-05,1.493656855461763e-06,128
1,25.567428588867188,4,5,3,1.2000000000000002,0.15000000000000002,4.059611610484306e-05,3.752055855124284e-05,512
2,16.0682315826416,1,2,8,1.75,0.15000000000000002,0.00010677482709481354,5.987474910461405e-05,256
3,21.64495277404785,4,6,14,1.3,0.1,0.000233596350262616,2.091498132903561e-05,1024
4,21.374164581298828,1,4,5,1.5,0.30000000000000004,2.3426581058204037e-05,0.0008105016126411582,256
5,16.967920303344727,4,0,3,1.05,0.2,5.989003672254293e-05,6.516990611177181e-06,128
6,22.070587158203125,0,5,1,1.95,0.4,2.497073714505272e-05,1.0388823104027941e-06,128
7,21.80617904663086,0,2,2,1.85,0.35,4.589824181495648e-05,1.5512259126484753e-06,512
8,17.863311767578125,4,3,2,1.7000000000000002,0.4,0.0001326033192269654,0.00020554245520150764,256
9,15.929193496704102,0,0,11,1.3,0.30000000000000004,0.0006533305220227731,5.595986878006084e-06,256
10,20.2112979888916,2,0,17,1.4000000000000001,0.5,0.0006536264082965735,5.9399235826896134e-06,1024
11,17.333337783813477,1,1,9,1.75,0.25,0.0009039448425093534,6.233843477099825e-05,256
12,15.931394577026367,2,2,8,1.5,0.25,0.00038165556248635226,1.1901940329882699e-05,256
13,16.016834259033203,3,1,9,1.4500000000000002,0.25,0.00036838456078637597,8.12686322451209e-06,256
14,15.57787799835205,2,2,12,1.2000000000000002,0.30000000000000004,0.0003899266084660749,3.6018406392098313e-06,256
15,16.101131439208984,3,1,12,1.1500000000000001,0.35,0.00021342040613753886,3.020207225625119e-06,256
16,18.115680694580078,0,3,11,1.3,0.5,0.0005487652841512001,3.705590012854591e-06,256
17,22.934598922729492,2,0,16,1.05,0.35,1.1335431394085092e-05,1.658988170013874e-05,1024
18,21.74582862854004,3,1,15,1.3,0.30000000000000004,0.0002087370856144665,4.139758703622858e-06,512
19,15.98990535736084,0,4,6,1.2000000000000002,0.45000000000000007,0.0009390135186901331,2.268265559435032e-06,256
20,16.095617294311523,2,2,11,1.35,0.4,0.00040454090245233503,0.0001960993555507915,256
21,15.957149505615234,2,2,7,1.55,0.25,0.00033268400820391864,1.1492877114274724e-05,256
22,16.06431770324707,3,3,10,1.1500000000000001,0.2,0.0005676076056081949,1.0148502961604546e-05,256
23,16.734390258789062,1,1,13,1.6,0.30000000000000004,0.0001446072731545129,2.3493339639848574e-05,256
24,16.45697784423828,2,4,5,1.4000000000000001,0.25,0.000285413891709847,5.592967993994485e-06,256
25,15.45986270904541,2,2,11,1.25,0.2,0.0005203980277410793,1.3618661900517673e-05,256
26,23.182741165161133,3,3,11,1.2000000000000002,0.2,0.0006531887078332642,3.822848883909372e-05,512
27,24.937864303588867,1,0,14,1.25,0.1,0.0009193793781908571,2.4203355023207034e-06,1024
28,15.848713874816895,0,1,12,1.1,0.35,0.0004644743959447179,4.152099820478383e-06,128
29,16.165420532226562,1,2,13,1.1,0.35,0.00014816068547029445,2.037346030865375e-06,128
