trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,tweedie_p,dropout,lr,wd,bs
26,11.415828704833984,4,2,0,1.1,0.1,0.00014946476932774713,0.00031895445919946766,128
5,11.434220314025879,4,0,3,1.05,0.2,5.989003672254293e-05,6.516990611177181e-06,128
13,11.442086219787598,3,3,6,1.4000000000000001,0.1,5.6824402574162737e-05,1.1389294191362523e-05,128
25,11.50627613067627,3,2,3,1.1,0.1,0.00010957838714016011,4.456250818980063e-05,128
29,11.641987800598145,4,1,2,1.55,0.15000000000000002,0.00019083472690779063,0.0003564076929041175,128
20,11.737730026245117,2,0,7,1.3,0.25,3.650944995289945e-05,3.4805147020864805e-05,128
15,12.149682998657227,3,3,6,1.4000000000000001,0.2,7.335172754348777e-05,9.66742126822392e-05,128
0,12.231182098388672,1,6,13,1.6,0.15000000000000002,2.0511104188433963e-05,1.493656855461763e-06,128
16,12.397686958312988,3,1,7,1.2000000000000002,0.2,0.00017741707437470786,1.7078102712846053e-05,128
10,12.506953239440918,3,0,17,1.05,0.25,0.0003807976572767595,5.9399235826896134e-06,128
