trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,tweedie_p,dropout,lr,wd,bs
0,16.47340965270996,1,6,13,1.6,0.15000000000000002,2.0511104188433963e-05,1.493656855461763e-06,128
1,26.065195083618164,4,5,3,1.2000000000000002,0.15000000000000002,4.059611610484306e-05,3.752055855124284e-05,512
2,17.66575813293457,1,2,8,1.75,0.15000000000000002,0.00010677482709481354,5.987474910461405e-05,256
3,35.24934005737305,4,6,14,1.3,0.1,0.000233596350262616,2.091498132903561e-05,1024
4,19.353939056396484,1,4,5,1.5,0.30000000000000004,2.3426581058204037e-05,0.0008105016126411582,256
5,16.643083572387695,4,0,3,1.05,0.2,5.989003672254293e-05,6.516990611177181e-06,128
6,22.207162857055664,0,5,1,1.95,0.4,2.497073714505272e-05,1.0388823104027941e-06,128
7,24.742067337036133,0,2,2,1.85,0.35,4.589824181495648e-05,1.5512259126484753e-06,512
8,16.810815811157227,4,3,2,1.7000000000000002,0.4,0.0001326033192269654,0.00020554245520150764,256
9,16.76530647277832,0,0,11,1.3,0.30000000000000004,0.0006533305220227731,5.595986878006084e-06,256
10,16.521024703979492,2,6,17,1.55,0.2,1.1952270129143866e-05,5.838891112221534e-06,128
11,16.359397888183594,2,6,17,1.55,0.2,1.152056378697459e-05,4.1570685550830405e-06,128
12,19.594566345214844,2,6,17,1.6,0.5,1.034470025359167e-05,2.091025736038712e-06,128
13,16.55699920654297,3,4,13,1.4000000000000001,0.2,2.0491209163211132e-05,3.879780669743692e-06,128
14,22.03221321105957,1,5,14,1.6500000000000001,0.1,1.0339361884003604e-05,1.4983775317403185e-05,1024
15,16.829132080078125,3,4,10,1.4000000000000001,0.25,2.1522667994990538e-05,1.3511500401597676e-05,128
16,16.234270095825195,2,6,15,1.8,0.25,0.0009006020499939699,3.115872722788031e-06,128
17,17.233558654785156,2,5,16,1.85,0.35,0.0008048058400676395,9.990953045534533e-05,128
18,24.098527908325195,3,3,7,1.8,0.25,0.0003782053590132996,3.856607966610031e-06,512
19,28.0650691986084,3,1,15,1.95,0.25,0.0002051576278414372,3.0954951353741278e-06,1024
20,18.58851432800293,2,4,12,1.4500000000000002,0.5,0.0004515690395546593,1.0068701985798682e-05,128
21,16.802122116088867,1,6,15,1.6500000000000001,0.15000000000000002,7.327079769823358e-05,1.109337348698174e-06,128
22,18.57304573059082,2,6,10,1.55,0.2,1.512753929847321e-05,2.0888406302943706e-06,128
23,16.693344116210938,1,5,13,1.75,0.15000000000000002,3.347485790511892e-05,2.416964091688942e-06,128
24,16.157611846923828,2,6,17,1.6500000000000001,0.25,1.6746442224753034e-05,1.6446790607061906e-06,128
25,16.723772048950195,2,5,17,1.85,0.25,0.00018536425291146687,9.72406898324188e-06,128
26,16.959753036499023,3,6,15,1.7000000000000002,0.35,0.0009685279936035762,2.815871524979388e-05,128
27,30.283857345581055,2,5,17,1.5,0.30000000000000004,1.5061064527685572e-05,3.916048828286135e-06,1024
28,24.440078735351562,3,6,16,1.75,0.25,0.0003350669806141365,7.498929579598923e-06,512
29,19.589662551879883,2,4,12,1.6,0.2,2.9462574873343776e-05,1.6146457929940351e-06,128
