trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,tweedie_p,dropout,lr,wd,bs
24,16.157611846923828,2,6,17,1.6500000000000001,0.25,1.6746442224753034e-05,1.6446790607061906e-06,128
16,16.234270095825195,2,6,15,1.8,0.25,0.0009006020499939699,3.115872722788031e-06,128
11,16.359397888183594,2,6,17,1.55,0.2,1.152056378697459e-05,4.1570685550830405e-06,128
0,16.47340965270996,1,6,13,1.6,0.15000000000000002,2.0511104188433963e-05,1.493656855461763e-06,128
10,16.521024703979492,2,6,17,1.55,0.2,1.1952270129143866e-05,5.838891112221534e-06,128
13,16.55699920654297,3,4,13,1.4000000000000001,0.2,2.0491209163211132e-05,3.879780669743692e-06,128
5,16.643083572387695,4,0,3,1.05,0.2,5.989003672254293e-05,6.516990611177181e-06,128
23,16.693344116210938,1,5,13,1.75,0.15000000000000002,3.347485790511892e-05,2.416964091688942e-06,128
25,16.723772048950195,2,5,17,1.85,0.25,0.00018536425291146687,9.72406898324188e-06,128
9,16.76530647277832,0,0,11,1.3,0.30000000000000004,0.0006533305220227731,5.595986878006084e-06,256
