trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,tweedie_p,dropout,lr,wd,bs
0,19.49201774597168,1,6,13,1.6,0.15000000000000002,2.0511104188433963e-05,1.493656855461763e-06,128
1,19.84370231628418,4,5,3,1.2000000000000002,0.15000000000000002,4.059611610484306e-05,3.752055855124284e-05,512
2,19.631671905517578,1,2,8,1.75,0.15000000000000002,0.00010677482709481354,5.987474910461405e-05,256
3,19.63995361328125,4,6,14,1.3,0.1,0.000233596350262616,2.091498132903561e-05,1024
4,20.038227081298828,1,4,5,1.5,0.30000000000000004,2.3426581058204037e-05,0.0008105016126411582,256
5,19.728586196899414,4,0,3,1.05,0.2,5.989003672254293e-05,6.516990611177181e-06,128
6,20.374006271362305,0,5,1,1.95,0.4,2.497073714505272e-05,1.0388823104027941e-06,128
7,19.998445510864258,0,2,2,1.85,0.35,4.589824181495648e-05,1.5512259126484753e-06,512
8,19.786468505859375,4,3,2,1.7000000000000002,0.4,0.0001326033192269654,0.00020554245520150764,256
9,19.955753326416016,0,0,11,1.3,0.30000000000000004,0.0006533305220227731,5.595986878006084e-06,256
10,19.54580307006836,2,6,17,1.55,0.2,1.1952270129143866e-05,5.838891112221534e-06,128
11,19.582046508789062,2,6,17,1.55,0.2,1.152056378697459e-05,4.1570685550830405e-06,128
12,19.887109756469727,2,6,17,1.6,0.5,1.0354170137078387e-05,2.2979756843545677e-06,128
13,19.520816802978516,3,4,13,1.4000000000000001,0.2,2.0491209163211132e-05,1.1389294191362523e-05,128
14,19.981403350830078,3,4,12,1.4000000000000001,0.1,2.59116450274838e-05,1.4750860930441071e-05,1024
15,19.64806365966797,3,4,13,1.4000000000000001,0.25,0.00023523515006331188,9.66742126822392e-05,128
16,19.635601043701172,1,5,9,1.7000000000000002,0.25,2.062562656957642e-05,1.5831582209953796e-05,128
17,19.675437927246094,3,3,15,1.4000000000000001,0.15000000000000002,6.528628771438671e-05,2.331732135987912e-06,128
18,20.605670928955078,1,1,10,1.1500000000000001,0.25,1.599682706415284e-05,9.964889532078427e-06,512
19,20.060884475708008,3,3,7,1.6500000000000001,0.1,3.37576265377876e-05,0.00015609192582558348,1024
20,19.70332145690918,2,5,15,1.8,0.5,7.404982985005907e-05,2.8948559668317005e-06,128
21,19.526165008544922,2,6,16,1.5,0.2,1.4668454426105326e-05,6.108541697939131e-06,128
22,19.601900100708008,2,5,13,1.4500000000000002,0.2,1.759205357934175e-05,1.1168515395797965e-06,128
23,19.713191986083984,1,4,15,1.3,0.15000000000000002,1.5760434450322748e-05,8.864079940163225e-06,128
24,19.447425842285156,3,6,12,1.5,0.25,3.6568430960207434e-05,3.75523622294317e-06,128
25,19.544645309448242,3,5,11,1.6,0.25,3.172214238497524e-05,3.386992977578154e-06,128
26,19.391042709350586,3,2,12,1.35,0.35,4.201287600478859e-05,3.4232201640415215e-05,128
27,20.27649688720703,3,2,10,1.25,0.4,4.424178124978094e-05,3.0269689749534785e-05,1024
28,19.7569637298584,4,1,6,1.5,0.35,0.00016839339542922205,5.47091980894884e-05,512
29,19.561641693115234,4,1,12,1.2000000000000002,0.35,4.3901232366735376e-05,2.7339190425747687e-05,512
