trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,tweedie_p,dropout,lr,wd,bs
26,19.391042709350586,3,2,12,1.35,0.35,4.201287600478859e-05,3.4232201640415215e-05,128
24,19.447425842285156,3,6,12,1.5,0.25,3.6568430960207434e-05,3.75523622294317e-06,128
0,19.49201774597168,1,6,13,1.6,0.15000000000000002,2.0511104188433963e-05,1.493656855461763e-06,128
13,19.520816802978516,3,4,13,1.4000000000000001,0.2,2.0491209163211132e-05,1.1389294191362523e-05,128
21,19.526165008544922,2,6,16,1.5,0.2,1.4668454426105326e-05,6.108541697939131e-06,128
25,19.544645309448242,3,5,11,1.6,0.25,3.172214238497524e-05,3.386992977578154e-06,128
10,19.54580307006836,2,6,17,1.55,0.2,1.1952270129143866e-05,5.838891112221534e-06,128
29,19.561641693115234,4,1,12,1.2000000000000002,0.35,4.3901232366735376e-05,2.7339190425747687e-05,512
11,19.582046508789062,2,6,17,1.55,0.2,1.152056378697459e-05,4.1570685550830405e-06,128
22,19.601900100708008,2,5,13,1.4500000000000002,0.2,1.759205357934175e-05,1.1168515395797965e-06,128
