trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,tweedie_p,dropout,lr,wd,bs
0,14.273168563842773,1,6,13,1.6,0.15000000000000002,2.0511104188433963e-05,1.493656855461763e-06,128
1,18.680866241455078,4,5,3,1.2000000000000002,0.15000000000000002,4.059611610484306e-05,3.752055855124284e-05,512
2,15.778356552124023,1,2,8,1.75,0.15000000000000002,0.00010677482709481354,5.987474910461405e-05,256
3,20.38359260559082,4,6,14,1.3,0.1,0.000233596350262616,2.091498132903561e-05,1024
4,17.85455894470215,1,4,5,1.5,0.30000000000000004,2.3426581058204037e-05,0.0008105016126411582,256
5,13.837636947631836,4,0,3,1.05,0.2,5.989003672254293e-05,6.516990611177181e-06,128
6,16.305112838745117,0,5,1,1.95,0.4,2.497073714505272e-05,1.0388823104027941e-06,128
7,17.540639877319336,0,2,2,1.85,0.35,4.589824181495648e-05,1.5512259126484753e-06,512
8,15.6766996383667,4,3,2,1.7000000000000002,0.4,0.0001326033192269654,0.00020554245520150764,256
9,15.580148696899414,0,0,11,1.3,0.30000000000000004,0.0006533305220227731,5.595986878006084e-06,256
10,14.649741172790527,3,0,17,1.05,0.25,0.0003807976572767595,5.9399235826896134e-06,128
11,15.275525093078613,2,1,9,1.55,0.2,1.2795749324952134e-05,5.0756006997471596e-06,128
12,17.62061882019043,2,6,13,1.6500000000000001,0.5,1.1291097791355626e-05,2.4114665021427233e-06,128
13,15.243523597717285,3,3,6,1.4000000000000001,0.1,5.6824402574162737e-05,1.1389294191362523e-05,128
14,17.44632339477539,1,1,16,1.05,0.2,2.345722464173916e-05,2.608786345319325e-06,1024
15,14.683023452758789,2,4,10,1.6,0.2,7.098701732564435e-05,1.3511500401597676e-05,128
16,13.92097282409668,3,4,6,1.4000000000000001,0.25,0.00017382944114295625,3.115872722788031e-06,128
17,15.159958839416504,3,3,5,1.2000000000000002,0.35,0.00020661220523922238,9.990953045534533e-05,128
18,18.10049819946289,3,4,7,1.1500000000000001,0.25,0.00017982068728458956,9.874928393918399e-06,512
19,19.135948181152344,4,2,4,1.35,0.25,0.00045054131462457194,3.271523485102065e-06,1024
20,16.706707000732422,3,1,0,1.4500000000000002,0.5,7.971987061376381e-05,2.5624840623930122e-05,128
21,15.386404037475586,1,5,12,1.5,0.15000000000000002,3.479537597967173e-05,1.109337348698174e-06,128
22,15.258218765258789,4,6,15,1.75,0.2,1.5811885003006834e-05,2.0888406302943706e-06,128
23,14.356261253356934,3,5,7,1.1500000000000001,0.15000000000000002,0.00013954559650181735,4.0264470020536444e-06,128
24,14.751846313476562,2,4,9,1.6,0.25,0.000285413891709847,1.7203868399676507e-06,128
25,22.907697677612305,2,6,4,1.4000000000000001,0.1,1.7827364777399083e-05,7.088932488796169e-06,128
26,15.532803535461426,4,3,11,1.25,0.2,6.545116141654817e-05,3.4304315162397702e-06,128
27,18.99798583984375,1,5,6,1.85,0.30000000000000004,9.039082680444433e-05,1.6235076304001806e-05,1024
28,17.65071678161621,3,2,0,1.1,0.15000000000000002,0.0009593019506630747,7.498929579598923e-06,512
29,18.95037269592285,4,0,3,1.4500000000000002,0.1,4.2854651227240685e-05,5.532694999916297e-05,512
