trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,tweedie_p,dropout,lr,wd,bs
5,13.837636947631836,4,0,3,1.05,0.2,5.989003672254293e-05,6.516990611177181e-06,128
16,13.92097282409668,3,4,6,1.4000000000000001,0.25,0.00017382944114295625,3.115872722788031e-06,128
0,14.273168563842773,1,6,13,1.6,0.15000000000000002,2.0511104188433963e-05,1.493656855461763e-06,128
23,14.356261253356934,3,5,7,1.1500000000000001,0.15000000000000002,0.00013954559650181735,4.0264470020536444e-06,128
10,14.649741172790527,3,0,17,1.05,0.25,0.0003807976572767595,5.9399235826896134e-06,128
15,14.683023452758789,2,4,10,1.6,0.2,7.098701732564435e-05,1.3511500401597676e-05,128
24,14.751846313476562,2,4,9,1.6,0.25,0.000285413891709847,1.7203868399676507e-06,128
17,15.159958839416504,3,3,5,1.2000000000000002,0.35,0.00020661220523922238,9.990953045534533e-05,128
13,15.243523597717285,3,3,6,1.4000000000000001,0.1,5.6824402574162737e-05,1.1389294191362523e-05,128
22,15.258218765258789,4,6,15,1.75,0.2,1.5811885003006834e-05,2.0888406302943706e-06,128
