trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,tweedie_p,dropout,lr,wd,bs
0,13.251077651977539,1,6,13,1.6,0.15000000000000002,2.0511104188433963e-05,1.493656855461763e-06,128
1,17.74568748474121,4,5,3,1.2000000000000002,0.15000000000000002,4.059611610484306e-05,3.752055855124284e-05,512
2,14.405198097229004,1,2,8,1.75,0.15000000000000002,0.00010677482709481354,5.987474910461405e-05,256
3,19.54037857055664,4,6,14,1.3,0.1,0.000233596350262616,2.091498132903561e-05,1024
4,15.255764961242676,1,4,5,1.5,0.30000000000000004,2.3426581058204037e-05,0.0008105016126411582,256
5,13.150059700012207,4,0,3,1.05,0.2,5.989003672254293e-05,6.516990611177181e-06,128
6,26.846406936645508,0,5,1,1.95,0.4,2.497073714505272e-05,1.0388823104027941e-06,128
7,18.935115814208984,0,2,2,1.85,0.35,4.589824181495648e-05,1.5512259126484753e-06,512
8,14.501133918762207,4,3,2,1.7000000000000002,0.4,0.0001326033192269654,0.00020554245520150764,256
9,14.153148651123047,0,0,11,1.3,0.30000000000000004,0.0006533305220227731,5.595986878006084e-06,256
10,13.86759090423584,3,0,17,1.05,0.25,0.0003807976572767595,5.9399235826896134e-06,128
11,13.523770332336426,2,1,9,1.55,0.2,1.2795749324952134e-05,5.0756006997471596e-06,128
12,14.471338272094727,2,6,13,1.6500000000000001,0.5,1.1291097791355626e-05,2.4114665021427233e-06,128
13,12.94387435913086,3,3,6,1.4000000000000001,0.1,5.6824402574162737e-05,1.1389294191362523e-05,128
14,17.23002815246582,3,2,5,1.05,0.1,4.694878486163233e-05,1.0426689836183483e-05,1024
15,13.21159553527832,3,3,6,1.4000000000000001,0.2,7.335172754348777e-05,9.66742126822392e-05,128
16,13.582964897155762,3,1,7,1.2000000000000002,0.2,0.00017741707437470786,1.7078102712846053e-05,128
17,13.867694854736328,4,1,0,1.4000000000000001,0.1,6.398320062780846e-05,1.058224733451449e-05,128
18,19.968711853027344,3,4,4,1.1500000000000001,0.25,0.00027415987284743105,4.527297193031375e-06,512
19,32.973243713378906,4,4,10,1.4500000000000002,0.15000000000000002,7.99437609886722e-05,0.00015018580927677827,1024
20,12.989336013793945,2,0,7,1.3,0.25,3.650944995289945e-05,3.4805147020864805e-05,128
21,13.904245376586914,2,0,7,1.3,0.25,3.5018659570964817e-05,3.56498490793284e-05,128
22,13.914125442504883,3,1,4,1.1500000000000001,0.2,6.155420094754714e-05,1.9067594876368443e-05,128
23,13.475003242492676,2,0,6,1.35,0.25,2.956194782529102e-05,1.0598653518783059e-05,128
24,13.804917335510254,2,3,8,1.2000000000000002,0.35,1.6746442224753034e-05,3.1119381558033767e-06,128
25,13.049978256225586,3,2,3,1.1,0.1,0.00010957838714016011,4.456250818980063e-05,128
26,12.82100772857666,2,2,10,1.25,0.1,0.00014946476932774713,6.808735221672088e-05,128
27,29.972827911376953,1,2,10,1.25,0.45000000000000007,0.000640286259380432,0.00035748084792387177,512
28,16.18198585510254,2,3,11,1.4500000000000002,0.15000000000000002,0.00014705574021536586,5.2145327792126534e-05,1024
29,13.290377616882324,1,1,12,1.6,0.15000000000000002,1.7941849320062233e-05,9.259407817015438e-05,128
