trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,tweedie_p,dropout,lr,wd,bs
0,13.104933738708496,1,6,13,1.6,0.15000000000000002,2.0511104188433963e-05,1.493656855461763e-06,128
1,14.771485328674316,4,5,3,1.2000000000000002,0.15000000000000002,4.059611610484306e-05,3.752055855124284e-05,512
2,13.626283645629883,1,2,8,1.75,0.15000000000000002,0.00010677482709481354,5.987474910461405e-05,256
3,15.608527183532715,4,6,14,1.3,0.1,0.000233596350262616,2.091498132903561e-05,1024
4,23.613426208496094,1,4,5,1.5,0.30000000000000004,2.3426581058204037e-05,0.0008105016126411582,256
5,11.806893348693848,4,0,3,1.05,0.2,5.989003672254293e-05,6.516990611177181e-06,128
6,14.810075759887695,0,5,1,1.95,0.4,2.497073714505272e-05,1.0388823104027941e-06,128
7,25.916223526000977,0,2,2,1.85,0.35,4.589824181495648e-05,1.5512259126484753e-06,512
8,11.157363891601562,4,3,2,1.7000000000000002,0.4,0.0001326033192269654,0.00020554245520150764,256
9,14.990636825561523,0,0,11,1.3,0.30000000000000004,0.0006533305220227731,5.595986878006084e-06,256
10,33.0721549987793,3,3,17,1.6500000000000001,0.5,0.000239255969396268,0.00044679715772018,1024
11,14.364603042602539,3,0,6,1.05,0.45000000000000007,9.70486621697952e-05,0.00017562104242092755,128
12,12.700423240661621,3,1,0,1.4500000000000002,0.25,0.00011364695031944941,9.187769848174018e-06,256
13,15.504457473754883,4,2,5,1.1,0.25,1.0442002390810122e-05,0.00015585972545888594,128
14,14.008947372436523,2,3,8,1.4500000000000002,0.4,0.0002520436362440952,7.204328481229977e-06,256
15,12.775711059570312,3,1,3,1.7000000000000002,0.25,6.302828427119299e-05,9.66742126822392e-05,128
16,17.090919494628906,4,4,4,1.8,0.5,0.0005554050532212885,1.7078102712846053e-05,512
17,27.867835998535156,2,1,0,1.3,0.2,0.00016653267435788076,3.923411687922838e-06,1024
18,13.870440483093262,4,0,7,1.6,0.35,0.0004246072557261024,0.00033003485252251503,128
19,14.046144485473633,3,3,10,1.9000000000000001,0.4,5.599052794647531e-05,2.7986976556530747e-06,256
20,12.495291709899902,2,4,2,1.1500000000000001,0.2,7.691250584286128e-05,1.4707072696616906e-05,128
21,11.343915939331055,2,4,2,1.1500000000000001,0.2,7.823868285336972e-05,1.3404119349786751e-05,128
22,12.320629119873047,4,5,4,1.2000000000000002,0.2,0.00015634692717182065,3.798939920049314e-05,128
23,12.99244213104248,2,4,1,1.05,0.1,3.324116493036483e-05,1.1041825209902708e-05,128
24,13.167973518371582,3,2,6,1.35,0.35,0.00014294959625414297,3.1119381558033767e-06,128
25,12.887577056884766,4,5,2,1.2000000000000002,0.25,7.625916126368658e-05,2.436286607363122e-05,256
26,20.152013778686523,1,3,0,1.4000000000000001,0.45000000000000007,0.00033756092856786576,6.602423306206938e-05,1024
27,29.608884811401367,2,1,4,1.55,0.2,1.2934717297991012e-05,4.564130343587066e-06,512
28,11.926947593688965,3,4,10,1.1,0.30000000000000004,0.0009593019506630747,1.1296061405886411e-05,128
29,13.291372299194336,4,6,2,1.6500000000000001,0.15000000000000002,1.7941849320062233e-05,0.00026487020788925546,128
