trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,tweedie_p,dropout,lr,wd,bs
0,15.172796249389648,1,6,13,1.6,0.15000000000000002,2.0511104188433963e-05,1.493656855461763e-06,128
1,22.724496841430664,4,5,3,1.2000000000000002,0.15000000000000002,4.059611610484306e-05,3.752055855124284e-05,512
2,15.761466979980469,1,2,8,1.75,0.15000000000000002,0.00010677482709481354,5.987474910461405e-05,256
3,21.443756103515625,4,6,14,1.3,0.1,0.000233596350262616,2.091498132903561e-05,1024
4,20.85481834411621,1,4,5,1.5,0.30000000000000004,2.3426581058204037e-05,0.0008105016126411582,256
5,14.928609848022461,4,0,3,1.05,0.2,5.989003672254293e-05,6.516990611177181e-06,128
6,18.202714920043945,0,5,1,1.95,0.4,2.497073714505272e-05,1.0388823104027941e-06,128
7,19.992216110229492,0,2,2,1.85,0.35,4.589824181495648e-05,1.5512259126484753e-06,512
8,16.541038513183594,4,3,2,1.7000000000000002,0.4,0.0001326033192269654,0.00020554245520150764,256
9,16.047616958618164,0,0,11,1.3,0.30000000000000004,0.0006533305220227731,5.595986878006084e-06,256
10,15.482826232910156,3,0,17,1.05,0.25,0.0003807976572767595,5.9399235826896134e-06,128
11,16.220258712768555,2,1,9,1.55,0.2,1.2795749324952134e-05,5.0756006997471596e-06,128
12,17.818178176879883,2,6,13,1.6500000000000001,0.5,1.1291097791355626e-05,2.4114665021427233e-06,128
13,15.022815704345703,3,3,6,1.4000000000000001,0.1,5.6824402574162737e-05,1.1389294191362523e-05,128
14,22.626800537109375,3,2,5,1.05,0.1,4.694878486163233e-05,1.0426689836183483e-05,1024
15,15.226015090942383,3,3,6,1.4000000000000001,0.2,7.335172754348777e-05,9.66742126822392e-05,128
16,15.599803924560547,3,1,7,1.2000000000000002,0.2,0.00017741707437470786,1.7078102712846053e-05,128
17,16.1115779876709,4,1,0,1.4000000000000001,0.1,6.398320062780846e-05,1.058224733451449e-05,128
18,22.308313369750977,3,4,4,1.1500000000000001,0.25,0.00027415987284743105,4.527297193031375e-06,512
19,19.875673294067383,4,4,10,1.4500000000000002,0.15000000000000002,7.99437609886722e-05,0.00015018580927677827,1024
20,15.21861743927002,2,0,7,1.3,0.25,3.650944995289945e-05,3.4805147020864805e-05,128
21,16.072004318237305,1,5,17,1.55,0.15000000000000002,2.3561331412793733e-05,2.6528398698789842e-06,128
22,15.522398948669434,1,3,12,1.6,0.1,1.6731247466693536e-05,2.173209571123518e-06,128
23,15.630578994750977,2,6,15,1.8,0.2,2.956194782529102e-05,1.0598653518783059e-05,128
24,15.567570686340332,3,2,9,1.6500000000000001,0.15000000000000002,1.6746442224753034e-05,3.5526120330395615e-06,128
25,15.596769332885742,4,4,4,1.1500000000000001,0.1,0.0001321799194900498,1.1711785677498206e-06,128
26,15.343883514404297,1,1,15,1.4000000000000001,0.2,5.700843771861429e-05,8.326145891631412e-06,128
27,31.532442092895508,2,5,11,1.9000000000000001,0.25,9.039082680444433e-05,1.8836944836394033e-05,1024
28,20.851224899291992,3,3,6,1.5,0.15000000000000002,0.0009593019506630747,2.97744247395476e-06,512
29,18.261873245239258,4,6,3,1.25,0.15000000000000002,4.086716469972379e-05,4.7375505458498746e-05,512
