trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,tweedie_p,dropout,lr,wd,bs
5,14.928609848022461,4,0,3,1.05,0.2,5.989003672254293e-05,6.516990611177181e-06,128
13,15.022815704345703,3,3,6,1.4000000000000001,0.1,5.6824402574162737e-05,1.1389294191362523e-05,128
0,15.172796249389648,1,6,13,1.6,0.15000000000000002,2.0511104188433963e-05,1.493656855461763e-06,128
20,15.21861743927002,2,0,7,1.3,0.25,3.650944995289945e-05,3.4805147020864805e-05,128
15,15.226015090942383,3,3,6,1.4000000000000001,0.2,7.335172754348777e-05,9.66742126822392e-05,128
26,15.343883514404297,1,1,15,1.4000000000000001,0.2,5.700843771861429e-05,8.326145891631412e-06,128
10,15.482826232910156,3,0,17,1.05,0.25,0.0003807976572767595,5.9399235826896134e-06,128
22,15.522398948669434,1,3,12,1.6,0.1,1.6731247466693536e-05,2.173209571123518e-06,128
24,15.567570686340332,3,2,9,1.6500000000000001,0.15000000000000002,1.6746442224753034e-05,3.5526120330395615e-06,128
25,15.596769332885742,4,4,4,1.1500000000000001,0.1,0.0001321799194900498,1.1711785677498206e-06,128
