trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,tweedie_p,dropout,lr,wd,bs
0,26.387147903442383,1,6,13,1.6,0.15000000000000002,2.0511104188433963e-05,1.493656855461763e-06,128
1,26.16960906982422,4,5,3,1.2000000000000002,0.15000000000000002,4.059611610484306e-05,3.752055855124284e-05,512
2,26.11825942993164,1,2,8,1.75,0.15000000000000002,0.00010677482709481354,5.987474910461405e-05,256
3,25.924089431762695,4,6,14,1.3,0.1,0.000233596350262616,2.091498132903561e-05,1024
4,26.207656860351562,1,4,5,1.5,0.30000000000000004,2.3426581058204037e-05,0.0008105016126411582,256
5,26.048442840576172,4,0,3,1.05,0.2,5.989003672254293e-05,6.516990611177181e-06,128
6,26.284547805786133,0,5,1,1.95,0.4,2.497073714505272e-05,1.0388823104027941e-06,128
7,26.054187774658203,0,2,2,1.85,0.35,4.589824181495648e-05,1.5512259126484753e-06,512
8,26.024017333984375,4,3,2,1.7000000000000002,0.4,0.0001326033192269654,0.00020554245520150764,256
9,25.923877716064453,0,0,11,1.3,0.30000000000000004,0.0006533305220227731,5.595986878006084e-06,256
10,26.075212478637695,2,0,17,1.4000000000000001,0.5,0.0006536264082965735,5.9399235826896134e-06,1024
11,26.100576400756836,3,1,12,1.3,0.25,0.000604059974162208,9.007995589161256e-06,1024
12,26.072254180908203,3,6,12,1.2000000000000002,0.1,0.00027487179764779075,1.1929625108781013e-05,1024
13,26.315214157104492,2,3,17,1.35,0.25,0.0002517755444151962,8.714459164478094e-05,1024
14,26.012508392333984,3,1,9,1.1,0.30000000000000004,0.00033321033336416837,2.013435986407669e-05,256
15,26.019742965698242,0,4,15,1.5,0.45000000000000007,0.0008863496289383186,3.7988957579324854e-06,1024
16,26.324100494384766,2,4,9,1.25,0.25,0.00017382944114295625,2.1598403587933254e-05,256
17,25.911470413208008,1,2,14,1.4000000000000001,0.1,0.00046378550392515224,3.625238732533058e-06,512
18,25.99094581604004,1,1,11,1.4500000000000002,0.35,0.0004498676609621939,4.139758703622858e-06,512
19,26.626379013061523,0,0,6,1.6,0.2,0.0009390135186901331,2.2738753997723227e-06,512
20,26.293298721313477,1,2,15,1.1500000000000001,0.35,1.2830625337894386e-05,3.02946066532309e-06,512
21,26.362960815429688,0,1,14,1.35,0.1,0.000424441083496743,1.472923481775633e-05,512
22,26.03604507446289,2,2,11,1.3,0.1,0.00015634692717182065,2.983827304027075e-05,1024
23,25.99089813232422,1,5,15,1.4000000000000001,0.2,0.00023634516726491974,7.5247515180524526e-06,256
24,26.098695755004883,0,3,10,1.6,0.15000000000000002,0.0005235426946263915,0.00013816699283121276,256
25,26.16782569885254,3,0,13,1.25,0.1,0.0003583660509336384,1.214689382747831e-05,1024
26,25.95349884033203,1,3,7,1.4000000000000001,0.2,0.000735151370407775,4.662856360669964e-06,512
27,26.532258987426758,0,1,16,1.5,0.25,0.00020230713489239227,2.4203355023207034e-06,128
28,26.317941665649414,2,6,13,1.1500000000000001,0.30000000000000004,9.579856405987073e-05,4.2304454675400046e-05,1024
29,25.99901580810547,1,6,11,1.55,0.15000000000000002,0.0003198036735557554,1.922241413406934e-06,128
