trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,tweedie_p,dropout,lr,wd,bs
17,25.911470413208008,1,2,14,1.4000000000000001,0.1,0.00046378550392515224,3.625238732533058e-06,512
9,25.923877716064453,0,0,11,1.3,0.30000000000000004,0.0006533305220227731,5.595986878006084e-06,256
3,25.924089431762695,4,6,14,1.3,0.1,0.000233596350262616,2.091498132903561e-05,1024
26,25.95349884033203,1,3,7,1.4000000000000001,0.2,0.000735151370407775,4.662856360669964e-06,512
23,25.99089813232422,1,5,15,1.4000000000000001,0.2,0.00023634516726491974,7.5247515180524526e-06,256
18,25.99094581604004,1,1,11,1.4500000000000002,0.35,0.0004498676609621939,4.139758703622858e-06,512
29,25.99901580810547,1,6,11,1.55,0.15000000000000002,0.0003198036735557554,1.922241413406934e-06,128
14,26.012508392333984,3,1,9,1.1,0.30000000000000004,0.00033321033336416837,2.013435986407669e-05,256
15,26.019742965698242,0,4,15,1.5,0.45000000000000007,0.0008863496289383186,3.7988957579324854e-06,1024
8,26.024017333984375,4,3,2,1.7000000000000002,0.4,0.0001326033192269654,0.00020554245520150764,256
