trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,tweedie_p,dropout,lr,wd,bs
0,18.093181610107422,1,6,13,1.6,0.15000000000000002,2.0511104188433963e-05,1.493656855461763e-06,128
1,18.732572555541992,4,5,3,1.2000000000000002,0.15000000000000002,4.059611610484306e-05,3.752055855124284e-05,512
2,18.267963409423828,1,2,8,1.75,0.15000000000000002,0.00010677482709481354,5.987474910461405e-05,256
3,18.197751998901367,4,6,14,1.3,0.1,0.000233596350262616,2.091498132903561e-05,1024
4,18.86391830444336,1,4,5,1.5,0.30000000000000004,2.3426581058204037e-05,0.0008105016126411582,256
5,18.343664169311523,4,0,3,1.05,0.2,5.989003672254293e-05,6.516990611177181e-06,128
6,19.7229061126709,0,5,1,1.95,0.4,2.497073714505272e-05,1.0388823104027941e-06,128
7,19.227108001708984,0,2,2,1.85,0.35,4.589824181495648e-05,1.5512259126484753e-06,512
8,18.58195686340332,4,3,2,1.7000000000000002,0.4,0.0001326033192269654,0.00020554245520150764,256
9,18.277328491210938,0,0,11,1.3,0.30000000000000004,0.0006533305220227731,5.595986878006084e-06,256
10,19.2861328125,2,6,17,1.55,0.2,1.1952270129143866e-05,5.838891112221534e-06,128
11,18.556547164916992,3,6,14,1.4000000000000001,0.1,0.00024263865280239123,1.0654865730022553e-05,1024
12,18.480560302734375,2,6,13,1.6,0.5,0.00038165556248635226,0.00015867888070062515,1024
13,18.136503219604492,3,4,17,1.35,0.1,0.0002097545791027164,1.673310344379085e-05,1024
14,18.320755004882812,3,4,17,1.35,0.2,0.0008524636948952178,2.6087863453193202e-06,1024
15,18.089757919311523,1,4,10,1.6500000000000001,0.1,0.00015387857441249316,2.5381387579561793e-06,128
16,18.44668197631836,1,5,9,1.6500000000000001,0.25,1.2280123027887864e-05,3.024410698987647e-06,128
17,18.083738327026367,1,3,7,1.8,0.15000000000000002,8.272534131682366e-05,2.0911646628367757e-06,128
18,17.92487335205078,2,2,6,1.8,0.25,7.903672217599764e-05,3.741423073713157e-06,128
19,18.53826141357422,2,1,6,1.85,0.25,7.33316948168525e-05,1.0639342200664712e-05,128
20,18.246782302856445,2,2,6,1.8,0.25,8.171044790532618e-05,3.1421981119513398e-06,128
21,18.465476989746094,1,3,9,1.95,0.15000000000000002,0.0001464766343214516,2.2288281548618755e-06,128
22,18.115331649780273,1,3,7,1.75,0.1,0.00038546912594668845,4.254373533049014e-06,128
23,18.582530975341797,2,1,11,1.85,0.2,4.86077244064108e-05,1.5025399484753903e-06,128
24,18.36897087097168,0,2,10,1.5,0.15000000000000002,0.0001504571963846028,1.0085335454520685e-05,512
25,17.840625762939453,2,3,7,1.7000000000000002,0.25,0.00010624852654231874,1.1711785677498206e-06,128
26,18.699941635131836,3,3,5,1.75,0.35,3.464206474801883e-05,1.163345875584323e-06,128
27,18.561058044433594,2,1,4,1.9000000000000001,0.25,9.039082680444433e-05,1.796065787506079e-06,128
28,18.317556381225586,2,2,7,1.7000000000000002,0.35,6.496009116974965e-05,4.042748747948955e-06,128
29,18.93509864807129,3,3,0,1.8,0.30000000000000004,3.382642684201226e-05,7.924650479014434e-05,128
