trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,tweedie_p,dropout,lr,wd,bs
25,17.840625762939453,2,3,7,1.7000000000000002,0.25,0.00010624852654231874,1.1711785677498206e-06,128
18,17.92487335205078,2,2,6,1.8,0.25,7.903672217599764e-05,3.741423073713157e-06,128
17,18.083738327026367,1,3,7,1.8,0.15000000000000002,8.272534131682366e-05,2.0911646628367757e-06,128
15,18.089757919311523,1,4,10,1.6500000000000001,0.1,0.00015387857441249316,2.5381387579561793e-06,128
0,18.093181610107422,1,6,13,1.6,0.15000000000000002,2.0511104188433963e-05,1.493656855461763e-06,128
22,18.115331649780273,1,3,7,1.75,0.1,0.00038546912594668845,4.254373533049014e-06,128
13,18.136503219604492,3,4,17,1.35,0.1,0.0002097545791027164,1.673310344379085e-05,1024
3,18.197751998901367,4,6,14,1.3,0.1,0.000233596350262616,2.091498132903561e-05,1024
20,18.246782302856445,2,2,6,1.8,0.25,8.171044790532618e-05,3.1421981119513398e-06,128
2,18.267963409423828,1,2,8,1.75,0.15000000000000002,0.00010677482709481354,5.987474910461405e-05,256
