trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,tweedie_p,dropout,lr,wd,bs
0,17.96730613708496,1,6,13,1.6,0.15000000000000002,2.0511104188433963e-05,1.493656855461763e-06,128
1,17.87705421447754,4,5,3,1.2000000000000002,0.15000000000000002,4.059611610484306e-05,3.752055855124284e-05,512
2,18.079439163208008,1,2,8,1.75,0.15000000000000002,0.00010677482709481354,5.987474910461405e-05,256
3,17.647340774536133,4,6,14,1.3,0.1,0.000233596350262616,2.091498132903561e-05,1024
4,17.684240341186523,1,4,5,1.5,0.30000000000000004,2.3426581058204037e-05,0.0008105016126411582,256
5,17.609966278076172,4,0,3,1.05,0.2,5.989003672254293e-05,6.516990611177181e-06,128
6,18.514148712158203,0,5,1,1.95,0.4,2.497073714505272e-05,1.0388823104027941e-06,128
7,18.42534637451172,0,2,2,1.85,0.35,4.589824181495648e-05,1.5512259126484753e-06,512
8,17.844388961791992,4,3,2,1.7000000000000002,0.4,0.0001326033192269654,0.00020554245520150764,256
9,17.848501205444336,0,0,11,1.3,0.30000000000000004,0.0006533305220227731,5.595986878006084e-06,256
10,17.820083618164062,3,0,17,1.05,0.25,0.0003807976572767595,5.9399235826896134e-06,128
11,18.120492935180664,3,1,17,1.35,0.1,0.00025291491602952195,1.049493439606901e-05,1024
12,17.670379638671875,3,6,7,1.05,0.5,0.0002238266666693593,1.3356962213484089e-05,1024
13,18.008846282958984,4,3,13,1.2000000000000002,0.2,6.313470227142154e-05,8.714459164478094e-05,1024
14,17.7174129486084,2,1,11,1.4000000000000001,0.1,1.183811454493493e-05,1.6340950146149624e-05,128
15,17.70488166809082,3,4,5,1.2000000000000002,0.2,0.0008831658384990725,3.7988957579324854e-06,1024
16,17.746042251586914,4,4,15,1.1,0.2,0.00017382944114295625,0.00018185037986744073,1024
17,17.857057571411133,2,2,10,1.4500000000000002,0.1,0.0003691956912879433,2.314843030197605e-05,128
18,17.718994140625,4,5,5,1.3,0.25,6.0247194447978926e-05,2.9695030054519064e-06,512
19,18.13812255859375,3,1,13,1.1500000000000001,0.25,8.79518847133326e-05,4.308431822777718e-05,128
20,17.970970153808594,2,0,0,1.55,0.15000000000000002,0.00045187992542628847,9.209021072749232e-06,1024
21,17.81034278869629,3,6,7,1.05,0.5,0.00021316486674758333,1.631196431594589e-05,1024
22,17.774951934814453,4,6,6,1.25,0.5,0.00015322110687114785,1.1678559679090474e-05,1024
23,17.803443908691406,3,5,9,1.1,0.45000000000000007,0.0002480202934410858,2.7929374044113563e-05,1024
24,17.65485954284668,4,6,4,1.05,0.45000000000000007,9.283246957830858e-05,3.1119381558033767e-06,1024
25,17.901639938354492,4,4,3,1.1500000000000001,0.4,7.889220790056694e-05,2.730663365159721e-06,1024
26,17.627731323242188,4,5,4,1.35,0.35,3.464206474801883e-05,4.9779502563510126e-06,128
27,17.910139083862305,4,5,15,1.4000000000000001,0.35,3.84970249220861e-05,7.0394931811604906e-06,128
28,17.635269165039062,2,3,0,1.35,0.35,3.040030610943821e-05,4.5325949817719205e-06,128
29,18.32546615600586,1,3,0,1.55,0.35,1.4595785615505023e-05,2.121499461469273e-06,128
