trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,tweedie_p,dropout,lr,wd,bs
5,17.609966278076172,4,0,3,1.05,0.2,5.989003672254293e-05,6.516990611177181e-06,128
26,17.627731323242188,4,5,4,1.35,0.35,3.464206474801883e-05,4.9779502563510126e-06,128
28,17.635269165039062,2,3,0,1.35,0.35,3.040030610943821e-05,4.5325949817719205e-06,128
3,17.647340774536133,4,6,14,1.3,0.1,0.000233596350262616,2.091498132903561e-05,1024
24,17.65485954284668,4,6,4,1.05,0.45000000000000007,9.283246957830858e-05,3.1119381558033767e-06,1024
12,17.670379638671875,3,6,7,1.05,0.5,0.0002238266666693593,1.3356962213484089e-05,1024
4,17.684240341186523,1,4,5,1.5,0.30000000000000004,2.3426581058204037e-05,0.0008105016126411582,256
15,17.70488166809082,3,4,5,1.2000000000000002,0.2,0.0008831658384990725,3.7988957579324854e-06,1024
14,17.7174129486084,2,1,11,1.4000000000000001,0.1,1.183811454493493e-05,1.6340950146149624e-05,128
18,17.718994140625,4,5,5,1.3,0.25,6.0247194447978926e-05,2.9695030054519064e-06,512
