trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,tweedie_p,dropout,lr,wd,bs
0,14.236146926879883,1,6,13,1.6,0.15000000000000002,2.0511104188433963e-05,1.493656855461763e-06,128
1,14.039871215820312,4,5,3,1.2000000000000002,0.15000000000000002,4.059611610484306e-05,3.752055855124284e-05,512
2,13.826802253723145,1,2,8,1.75,0.15000000000000002,0.00010677482709481354,5.987474910461405e-05,256
3,13.83484172821045,4,6,14,1.3,0.1,0.000233596350262616,2.091498132903561e-05,1024
4,14.731157302856445,1,4,5,1.5,0.30000000000000004,2.3426581058204037e-05,0.0008105016126411582,256
5,13.714156150817871,4,0,3,1.05,0.2,5.989003672254293e-05,6.516990611177181e-06,128
6,13.93156623840332,0,5,1,1.95,0.4,2.497073714505272e-05,1.0388823104027941e-06,128
7,13.45422077178955,0,2,2,1.85,0.35,4.589824181495648e-05,1.5512259126484753e-06,512
8,13.712038040161133,4,3,2,1.7000000000000002,0.4,0.0001326033192269654,0.00020554245520150764,256
9,14.12948989868164,0,0,11,1.3,0.30000000000000004,0.0006533305220227731,5.595986878006084e-06,256
10,14.51039981842041,2,2,17,1.95,0.5,1.1952270129143866e-05,5.838891112221534e-06,512
11,14.452481269836426,3,2,0,1.75,0.4,0.00015479878461102518,0.0003087329009293507,512
12,14.142019271850586,3,3,7,1.75,0.4,0.0003012190385582128,0.0001939918307647232,1024
13,14.134140014648438,2,3,5,1.6,0.5,7.543753960057199e-05,0.00015585972545888594,256
14,13.832219123840332,3,1,2,1.85,0.35,0.0008524636948952178,0.000922505793846549,512
15,14.412297248840332,0,4,5,1.55,0.25,4.546531174844195e-05,1.7491630476777972e-05,256
16,14.811700820922852,2,1,10,1.7000000000000002,0.45000000000000007,0.00013093960982800025,8.20592434710182e-05,512
17,14.111635208129883,3,3,0,1.4500000000000002,0.35,0.0003964156098153074,3.2518867952803626e-06,1024
18,13.99697208404541,1,1,6,1.85,0.35,0.00019578360392039123,0.00041555743435154154,512
19,13.780072212219238,4,4,3,1.6500000000000001,0.45000000000000007,8.79518847133326e-05,1.0481985526873432e-05,256
20,14.205294609069824,0,2,9,1.85,0.25,4.0337715213162597e-05,9.81831309885605e-05,512
21,13.861063957214355,4,0,3,1.05,0.25,6.111565128115067e-05,2.850708202303819e-06,128
22,14.161153793334961,4,0,2,1.05,0.2,6.71156853319773e-05,2.1651204034099252e-06,128
23,14.448641777038574,3,1,4,1.4500000000000002,0.2,3.0775448245983926e-05,6.967614520697619e-06,128
24,14.79177474975586,2,2,1,1.2000000000000002,0.35,1.1414961135986039e-05,1.4685072736311658e-05,128
25,14.133347511291504,4,0,7,1.35,0.45000000000000007,0.00011086568532805872,3.363484546336413e-05,128
26,14.396395683288574,3,3,0,1.85,0.30000000000000004,4.9857672050619874e-05,3.300298768387948e-06,256
27,15.543472290039062,4,4,2,1.7000000000000002,0.2,1.7124728840872807e-05,1.156054876594627e-06,1024
28,14.937200546264648,3,1,4,1.2000000000000002,0.4,0.0001616797069895467,1.8702381567973755e-06,256
29,14.072546005249023,1,5,12,1.6,0.1,0.0004407474344417402,1.0407958881281165e-05,128
