trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,tweedie_p,dropout,lr,wd,bs
12,9.621284484863281,3,1,7,1.05,0.5,0.00023937191942813743,6.068885706807695e-06,128
17,9.689298629760742,4,3,0,1.1,0.35,7.186994252715616e-05,3.7932938508658363e-06,128
25,9.690245628356934,3,3,7,1.25,0.45000000000000007,0.0004123050574956956,2.283094101707603e-06,128
24,9.707893371582031,4,1,3,1.05,0.45000000000000007,0.0003849763868906295,4.362367530564493e-06,128
5,9.709609985351562,4,0,3,1.05,0.2,5.989003672254293e-05,6.516990611177181e-06,128
10,9.738683700561523,3,0,17,1.05,0.25,0.0003807976572767595,5.9399235826896134e-06,128
29,9.74409008026123,2,4,10,1.25,0.45000000000000007,0.0001071730893566148,1.0265840294131968e-05,128
11,9.768424034118652,3,0,17,1.05,0.25,0.0005423594971478828,6.31664100536618e-06,128
1,9.769749641418457,4,5,3,1.2000000000000002,0.15000000000000002,4.059611610484306e-05,3.752055855124284e-05,512
9,9.783214569091797,0,0,11,1.3,0.30000000000000004,0.0006533305220227731,5.595986878006084e-06,256
