trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,tweedie_p,dropout,lr,wd,bs
0,14.799444198608398,1,6,13,1.6,0.15000000000000002,2.0511104188433963e-05,1.493656855461763e-06,128
1,14.38563060760498,4,5,3,1.2000000000000002,0.15000000000000002,4.059611610484306e-05,3.752055855124284e-05,512
2,14.712945938110352,1,2,8,1.75,0.15000000000000002,0.00010677482709481354,5.987474910461405e-05,256
3,14.771251678466797,4,6,14,1.3,0.1,0.000233596350262616,2.091498132903561e-05,1024
4,14.770599365234375,1,4,5,1.5,0.30000000000000004,2.3426581058204037e-05,0.0008105016126411582,256
5,14.579139709472656,4,0,3,1.05,0.2,5.989003672254293e-05,6.516990611177181e-06,128
6,14.60427188873291,0,5,1,1.95,0.4,2.497073714505272e-05,1.0388823104027941e-06,128
7,14.548967361450195,0,2,2,1.85,0.35,4.589824181495648e-05,1.5512259126484753e-06,512
8,14.695284843444824,4,3,2,1.7000000000000002,0.4,0.0001326033192269654,0.00020554245520150764,256
9,14.614255905151367,0,0,11,1.3,0.30000000000000004,0.0006533305220227731,5.595986878006084e-06,256
10,14.98936653137207,3,4,17,1.05,0.2,1.1952270129143866e-05,9.186066145996928e-05,512
11,15.127459526062012,2,2,6,1.3,0.45000000000000007,5.1996262844747956e-05,1.4655627218561615e-05,512
12,14.633932113647461,3,2,0,1.95,0.35,4.913460742665322e-05,4.28169597190919e-06,512
13,14.480834007263184,2,1,5,1.2000000000000002,0.5,0.00021601863672613563,0.00025105429227439014,512
14,14.497475624084473,2,1,5,1.2000000000000002,0.5,0.00033321033336416837,0.00036693482022465444,512
15,15.526448249816895,3,4,8,1.4500000000000002,0.5,0.00021342040613753886,9.66742126822392e-05,1024
16,14.446403503417969,2,5,4,1.1500000000000001,0.25,0.0009006020499939699,3.532402748698256e-05,512
17,14.538475036621094,3,5,10,1.1500000000000001,0.25,0.0008048058400676395,4.486248422111145e-05,512
18,14.409233093261719,3,5,3,1.35,0.1,0.0004246072557261024,1.7211178213735847e-05,512
19,14.515893936157227,4,6,7,1.4500000000000002,0.1,0.00045054131462457194,9.8531673254928e-06,1024
20,14.449291229248047,3,5,0,1.4000000000000001,0.15000000000000002,8.21288185930582e-05,2.1825591646033406e-05,512
21,14.40017318725586,3,5,3,1.1500000000000001,0.2,0.0005385710923402171,3.564984907932834e-05,512
22,14.548720359802246,4,4,3,1.35,0.1,0.00048741932666607034,9.80402888222074e-05,512
23,14.4385986328125,3,3,3,1.2000000000000002,0.2,0.00034337583537610974,1.2840521431554018e-05,512
24,14.681607246398926,3,5,1,1.1,0.15000000000000002,0.00014294959625414297,2.9666688330493522e-05,512
25,14.766335487365723,4,6,6,1.3,0.25,3.193757750343415e-05,3.386992977578154e-06,512
26,14.452980995178223,3,3,10,1.25,0.1,0.0006608307288178526,5.903643779606241e-05,512
27,16.04073143005371,4,5,4,1.5,0.2,1.2934717297991012e-05,2.0205212225834624e-05,1024
28,14.672669410705566,3,4,2,1.6,0.15000000000000002,0.0003188534471732352,1.0146130683713705e-05,128
29,14.461600303649902,2,6,6,1.4000000000000001,0.15000000000000002,8.096592431922897e-05,0.00016098943018873855,128
