trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,tweedie_p,dropout,lr,wd,bs
0,18.46762466430664,1,6,13,1.6,0.15000000000000002,2.0511104188433963e-05,1.493656855461763e-06,128
1,18.481403350830078,4,5,3,1.2000000000000002,0.15000000000000002,4.059611610484306e-05,3.752055855124284e-05,512
2,18.372304916381836,1,2,8,1.75,0.15000000000000002,0.00010677482709481354,5.987474910461405e-05,256
3,17.840036392211914,4,6,14,1.3,0.1,0.000233596350262616,2.091498132903561e-05,1024
4,18.4296817779541,1,4,5,1.5,0.30000000000000004,2.3426581058204037e-05,0.0008105016126411582,256
5,18.278413772583008,4,0,3,1.05,0.2,5.989003672254293e-05,6.516990611177181e-06,128
6,20.31102180480957,0,5,1,1.95,0.4,2.497073714505272e-05,1.0388823104027941e-06,128
7,19.47452735900879,0,2,2,1.85,0.35,4.589824181495648e-05,1.5512259126484753e-06,512
8,18.119516372680664,4,3,2,1.7000000000000002,0.4,0.0001326033192269654,0.00020554245520150764,256
9,18.195432662963867,0,0,11,1.3,0.30000000000000004,0.0006533305220227731,5.595986878006084e-06,256
10,17.815017700195312,3,6,17,1.4000000000000001,0.1,0.0003764308352127459,1.213210022230971e-05,1024
11,18.14325523376465,3,6,17,1.4000000000000001,0.1,0.0003866972763829808,1.0654865730022553e-05,1024
12,19.12862205505371,3,6,17,1.2000000000000002,0.5,0.000272679774661627,2.1878179855630504e-05,1024
13,18.123287200927734,3,4,14,1.4500000000000002,0.1,0.0009290810277379628,8.714459164478094e-05,1024
14,18.037500381469727,2,5,14,1.3,0.2,0.0002720772205038553,0.0001705328252282304,1024
15,19.1953125,3,4,10,1.6,0.25,0.00017585342643524412,1.5350057781753056e-05,1024
16,18.004396438598633,2,6,16,1.35,0.1,0.0004867031378023447,4.813270990765422e-06,1024
17,20.483598709106445,4,5,12,1.05,0.2,1.1335431394085092e-05,2.9220482584131593e-05,1024
18,17.987497329711914,3,3,15,1.2000000000000002,0.25,0.0002029641020421039,2.9695030054519064e-06,1024
19,17.99575424194336,4,1,9,1.5,0.1,7.754476215583163e-05,1.4629015346964327e-05,512
20,18.216135025024414,2,4,7,1.6,0.5,0.00042586579390044017,7.697955616776428e-05,1024
21,17.93804359436035,3,3,15,1.2000000000000002,0.25,0.000198982043816735,2.361458300758087e-06,1024
22,18.22560691833496,3,2,15,1.1500000000000001,0.15000000000000002,0.00025165271144789766,2.8527496039939244e-06,1024
23,18.14288330078125,2,1,12,1.3,0.25,0.00014946748898187986,9.531575681514436e-06,1024
24,18.13961410522461,4,5,17,1.4000000000000001,0.2,0.0007927344204261671,3.1119381558033767e-06,1024
25,18.168275833129883,3,6,15,1.1500000000000001,0.4,0.0003583660509336384,4.1127311896503004e-05,1024
26,18.034908294677734,4,1,13,1.25,0.15000000000000002,0.0005846165838228061,1.4660219838697668e-05,1024
27,18.276992797851562,3,3,16,1.4000000000000001,0.35,0.00010568798895048646,7.774750158399625e-06,128
28,18.160398483276367,2,6,11,1.1,0.1,0.00023365147114012182,4.184883665992827e-06,512
29,18.42254638671875,3,5,13,1.25,0.15000000000000002,0.0003373695121873789,1.7327473979407584e-06,128
