trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,tweedie_p,dropout,lr,wd,bs
10,18.26099967956543,3,0,17,1.05,0.25,0.0003807976572767595,5.9399235826896134e-06,128
16,18.321979522705078,2,2,5,1.4000000000000001,0.2,0.0009006020499939699,7.448192415238416e-05,128
5,18.334882736206055,4,0,3,1.05,0.2,5.989003672254293e-05,6.516990611177181e-06,128
15,18.363601684570312,3,1,5,1.1500000000000001,0.25,6.213766436439483e-05,1.2892786944180436e-05,128
3,18.376033782958984,4,6,14,1.3,0.1,0.000233596350262616,2.091498132903561e-05,1024
29,18.411420822143555,3,4,6,1.1,0.15000000000000002,4.751293270641011e-05,2.096328778443946e-05,128
14,18.429780960083008,2,0,17,1.4500000000000002,0.2,0.00033321033336416837,3.5956649622782193e-06,1024
25,18.43270492553711,4,1,12,1.6,0.30000000000000004,0.0007658453214053981,7.798235886138555e-05,128
26,18.436609268188477,2,3,15,1.4000000000000001,0.2,0.00032229502473040496,7.438646559735344e-06,128
24,18.440990447998047,3,0,9,1.25,0.15000000000000002,0.0004790236138554714,2.642051143084575e-05,128
