trial,value,local_dem_cfg,regional_dem_cfg,climate_units,dem_units,dem_patch_size,temporal_units,na,nb,dropout_rate,learning_rate,weight_decay,batch_size
1,7.997853488084984,1,6,3536,160,4,12,64,112,0.2,0.0003470266988650413,1.208754147305695e-07,256
2,8.93151668580474,0,1,2768,144,7,20,320,32,0.1,6.7890532716984874e-06,6.6723671704642e-06,256
3,7.996949586726178,2,0,3312,48,3,64,512,112,0.1,3.078651783619617e-07,5.456725485601477e-05,1024
4,8.949423374230918,0,6,2688,176,6,36,320,32,0.3,0.0007510418138777543,0.0005727904470799618,1024
5,8.482083397927296,0,1,2320,96,6,20,448,48,0.05,5.1698794422985435e-05,3.6618192203924245e-07,1024
6,8.315275436590246,3,1,2240,224,10,48,448,16,0.1,3.7961668958008084e-07,0.000283409042951477,256
7,8.281787985454477,1,2,3520,176,11,32,64,96,0.25,6.403036652671171e-05,0.0001213022118116514,512
8,8.31230949875504,0,0,2288,176,6,36,512,32,0.1,0.000599453765679882,8.226074946221031e-07,512
9,7.92639038490228,4,5,3360,224,11,12,512,80,0.25,0.0030231277487963,1.8707420137660242e-06,1024
10,8.013273160813569,4,6,2240,144,7,16,64,48,0.3,4.130614451133167e-06,1.188946976953047e-05,1024
11,7.895956146732555,4,4,3952,256,12,4,192,80,0.2,0.009158267559026587,1.999386468976914e-06,1024
12,7.901174230901344,4,4,3984,256,12,4,192,80,0.2,0.00985649812120758,2.657797455558953e-06,1024
13,7.694764260955683,3,4,4000,256,12,4,192,80,0.2,0.009604733035373163,4.369049926141714e-06,1024
14,7.8435175722955295,3,3,4000,256,9,4,192,64,0.2,0.00852451728666316,2.0293489961913124e-05,1024
15,7.891480357148256,3,3,3744,224,9,28,192,64,0.0,0.0016149491964698069,3.290899836737249e-05,1024
16,8.08728375751445,3,3,3760,80,9,4,256,64,0.15000000000000002,0.00018558722551773578,1.9713233678624335e-05,512
17,8.141253536455155,2,4,2896,16,9,48,128,128,0.15000000000000002,0.0027827886818074126,6.464519217996501e-06,1024
18,8.29808565610797,3,2,3776,208,10,24,256,96,0.25,4.159327039375437e-06,6.833373748227394e-05,1024
19,7.727306957084804,2,4,3088,256,8,8,128,64,0.2,0.00014043646956719057,4.553088763190434e-06,256
20,7.890633774586957,1,5,3104,112,5,12,128,96,0.15000000000000002,1.6215622900541456e-05,4.5433334273779324e-07,256
21,7.876426385932741,2,5,3056,208,8,44,128,48,0.25,0.00012198495026151501,4.946073007869942e-06,256
22,7.859477084618817,2,3,3312,256,8,8,192,64,0.2,0.003450034079825411,8.555637865713713e-06,256
23,8.091680172490213,3,4,3616,240,10,8,256,64,0.2,1.117370280301485e-06,1.0026070045024379e-06,256
24,7.8319070599508995,2,2,2528,208,11,16,128,80,0.15000000000000002,0.0011074398106970024,1.763306809227975e-05,512
25,7.961490897876465,2,2,2640,192,11,16,128,80,0.15000000000000002,0.0012975948050506772,3.747878857825851e-06,512
26,8.075399609821202,1,5,2416,240,12,24,128,96,0.05,0.00026881665313848173,1.4780056216288017e-05,512
27,7.927340826443365,2,2,2544,208,11,16,64,80,0.15000000000000002,0.0007012367175595424,0.00012395527802828854,512
28,7.811605926767496,2,4,2848,240,12,8,320,112,0.25,1.8465781064725918e-05,3.0037057554897782e-05,512
29,8.045572831541309,1,4,2928,240,12,64,384,128,0.3,1.9663051081566892e-05,4.42879318973592e-05,256
30,8.011173483768133,1,5,3216,240,3,8,320,112,0.25,1.026961664969709e-06,1.1930576059302754e-07,512
31,7.952570031646527,3,4,2976,192,4,12,256,112,0.2,1.047963513089619e-07,3.254623148732543e-07,256
32,8.136973894004763,2,3,2832,224,11,8,384,96,0.2,0.00010066623815764213,2.509281882194521e-05,512
33,8.073935639991978,2,3,2560,256,12,20,64,112,0.25,0.00032065340528734894,1.0747798040599802e-05,512
34,7.832511835577997,2,4,3184,208,10,16,320,48,0.2,2.8018400268110742e-05,3.680327697662904e-06,512
35,7.918189617798473,2,1,2672,160,12,8,128,128,0.15000000000000002,0.004173441580480105,6.888370988022376e-05,512
36,8.19821345339176,1,6,2464,240,11,12,320,80,0.1,1.2425222798321967e-05,1.0462234299506738e-06,256
37,8.049295787414232,3,2,2832,128,10,24,384,16,0.3,5.0865293665888036e-05,7.744627481743657e-06,512
38,8.041021687964653,2,3,2736,192,7,4,192,96,0.25,0.0012917310550477163,0.0007365967930904004,256
39,8.239632628582662,1,5,3024,224,11,20,256,32,0.05,7.038867383115198e-06,0.00019977887253023698,512
40,7.82335753197255,2,1,3472,160,5,12,64,112,0.2,0.0005692463685267958,3.921059235212687e-05,512
41,7.95286857247346,3,0,3456,160,5,60,64,112,0.25,0.0005051936680458952,3.347943302454486e-05,256
42,7.88084015277736,2,1,3632,240,5,12,64,112,0.2,0.00016823623068657072,1.63286219316882e-05,512
43,7.738209475509809,2,0,3232,144,6,8,128,128,0.2,6.059479072520891e-05,0.00012362555916407844,512
44,8.024690080987591,2,0,3216,128,6,8,64,128,0.25,7.102966913426983e-05,0.00037043267078651826,512
45,7.838797087818752,2,0,3424,80,4,4,128,128,0.2,3.249878371973517e-05,9.126933487907697e-05,512
46,8.133156589244685,3,1,3904,176,6,40,192,112,0.2,9.295379374633121e-06,0.00014675216022273704,1024
47,7.846361973559517,2,0,3152,144,7,12,64,128,0.25,3.4940689381399026e-05,0.0003546617728182598,1024
48,8.354032452648013,1,4,3264,96,4,32,448,112,0.1,0.00040747156272631814,4.1778257780939354e-05,512
49,7.966980098540941,4,4,3392,112,5,4,192,48,0.3,8.127963393808884e-05,5.682332536991049e-06,1024
50,8.129100365841781,3,0,3856,48,8,8,128,96,0.2,0.00018489887475528897,6.324569643830379e-05,512
51,9.000399485962994,0,1,3536,144,6,4,64,128,0.2,5.1214555756778496e-05,1.5176093168712863e-06,1024
