rank,trial_number,trial_id,objective_value,attention_dropout,attention_heads,batch_size,climate_activation,climate_processing,climate_units,dropout_rate,l2_reg,learning_rate,local_dem_units,na,nb,output_activation,regional_dem_units,temporal_depth,temporal_dropout,temporal_units,use_multihead_attention,use_residual,use_spatial_attention,weight_decay
1,86,98,0.4336895823,0.15,0,1,0,0,1275,0.3,1.073882805e-05,0.0001132929587,48,3584,176,0,16,1,0.05,16,0,0,0,9.550379353e-05
2,84,96,0.4377545953,0.15,0,1,0,0,1320,0.35,1.003547425e-05,0.0001162739817,48,3968,176,0,32,1,0.05,16,0,0,0,8.291432137e-05
3,87,99,0.4386184374,0.15,0,1,0,0,1320,0.3,1.058228367e-05,0.0001034388797,48,3712,176,0,16,1,0.05,16,0,0,0,9.44667906e-05
4,89,101,0.439905415,0.15,0,1,0,0,1350,0.3,1.296903381e-05,0.0001079649492,32,3968,176,0,48,1,0.05,16,0,0,0,9.585862641e-05
5,98,110,0.4402570973,0.15,0,1,0,0,1290,0.3,1.015762098e-05,9.388639811e-05,64,3712,144,0,64,1,0.05,16,0,0,0,9.303148381e-05
6,80,92,0.4403954754,0.15,0,1,0,0,1260,0.35,1.010581211e-05,0.0003103686684,32,3584,176,0,32,1,0.05,16,0,0,0,9.618807735e-05
7,79,91,0.4408271442,0.15,0,1,0,0,1260,0.35,1.020071171e-05,0.000118180602,32,3584,176,0,32,1,0.05,16,0,0,0,8.012682623e-05
8,88,100,0.4410295377,0.15,0,1,0,0,1350,0.3,1.055168687e-05,0.0001038692554,32,3584,176,0,48,1,0.05,16,0,0,0,9.440696493e-05
9,95,107,0.4416452765,0.15,0,1,0,0,1320,0.3,1.004332494e-05,7.78056569e-05,96,3456,160,0,32,1,0.05,16,0,0,0,8.54815472e-05
10,90,102,0.4420541575,0.15,0,1,0,0,1350,0.3,1.293589024e-05,6.407399538e-05,32,3968,128,0,48,1,0.05,16,0,0,0,0.0001302459292
