rank,trial_number,trial_id,objective_value,attention_dropout,attention_heads,batch_size,climate_activation,climate_processing,climate_units,dropout_rate,l2_reg,learning_rate,local_dem_units,na,nb,output_activation,regional_dem_units,temporal_depth,temporal_dropout,temporal_units,use_multihead_attention,use_residual,use_spatial_attention,weight_decay
1,36,150,0.4457250228,0.2,0,0,0,0,1440,0.4,6.380930348e-05,1.984575088e-05,64,3768,256,0,32,0,0.05,8,0,0,0,1.61520142e-05
2,19,133,0.4464734882,0.2,0,0,0,0,1470,0.4,1.98297143e-05,1.832119311e-05,32,4152,176,0,16,0,0.05,16,0,0,0,3.452652815e-05
3,22,136,0.4471033255,0.2,0,0,0,0,1425,0.4,3.106981573e-05,1.996884981e-05,16,4152,176,0,16,0,0.05,16,0,0,0,4.241757967e-05
4,43,157,0.4481591066,0.1,0,0,0,0,1425,0.4,7.48710208e-05,1.909802144e-05,96,3896,256,0,16,1,0.05,8,0,0,0,1.990569294e-05
5,39,153,0.4483770619,0.1,0,0,0,0,1440,0.4,6.032042762e-05,1.91736524e-05,96,3640,256,0,16,1,0.05,8,0,0,0,1.788533548e-05
6,13,127,0.4485027691,0.15,0,0,0,0,1455,0.3,3.798096978e-05,1.957849477e-05,80,5048,224,0,16,0,0.1,16,0,0,0,2.057358035e-05
7,35,149,0.4485531121,0.2,0,0,0,0,1455,0.4,4.389795914e-05,1.991413439e-05,32,3896,256,0,16,0,0.05,4,0,0,0,1.603084801e-05
8,5,119,0.4490784446,0.2,0,0,0,0,1455,0.4,1.185890669e-05,1.282061731e-05,32,4536,224,0,16,0,0.05,16,0,0,0,1.07198305e-05
9,37,151,0.4491016507,0.2,0,0,0,0,1410,0.35,7.107886667e-05,1.781277816e-05,64,3384,160,0,32,0,0.1,8,0,0,0,2.260625485e-05
10,20,134,0.4492353251,0.15,0,0,0,0,1500,0.35,1.914686319e-05,1.849544326e-05,64,4152,176,0,32,0,0.1,16,0,0,0,3.763329609e-05
