trial_number,trial_id,objective_value,batch_size,climate_activation,climate_processing,climate_units,dropout_rate,learning_rate,local_dem_units,na,nb,output_activation,regional_dem_units,temporal_units,use_residual,weight_decay
0,393,0.37551045417785645,256,relu,conv2d,1350,0.3,7.348118405270451e-05,128,3256,144,softplus,48,12,True,3.6513970667294454e-05
1,394,0.37615414044389933,64,relu,conv2d,1335,0.3,2.3246728489504323e-05,80,4280,144,relu,32,8,True,2.531382184716925e-05
2,395,0.3723219827963756,256,relu,conv2d,1275,0.4,2.7551959649510774e-05,128,3640,128,softplus,64,16,False,1.0888171397838225e-05
3,396,0.36019108129235416,256,relu,conv2d,1395,0.35,8.35361075531177e-05,32,4920,256,relu,64,16,True,1.0003645623615424e-05
4,397,0.4147804529012109,64,relu,conv2d,1320,0.4,1.5802131864103894e-05,80,3128,256,relu,16,16,True,8.112360701831096e-06
5,398,0.35551881990753686,256,relu,conv2d,1470,0.4,4.3406770118893994e-05,80,3640,160,relu,24,4,True,7.52112017421949e-05
6,399,0.3773392920310681,256,relu,conv2d,1380,0.3,3.225304267179124e-05,64,3000,208,relu,8,4,True,7.917876795380677e-05
7,400,0.36130994665794647,64,relu,conv2d,1485,0.4,3.4621209972935956e-05,112,4664,144,softplus,48,16,False,6.14864158632461e-05
8,401,0.36991932443701303,256,relu,conv2d,1260,0.4,2.104761698332611e-05,80,3256,176,relu,32,4,True,2.9659007554617175e-05
9,402,0.4007384811456387,128,relu,conv2d,1320,0.4,1.736048646979629e-05,16,3000,160,softplus,40,12,False,1.1535239687197487e-05
10,403,0.36514638658039844,128,relu,conv2d,1500,0.35,4.897504082145605e-05,48,3896,208,relu,16,8,False,9.26536509141426e-05
11,404,0.3806866490497039,256,relu,conv2d,1440,0.35,9.164231520546233e-05,16,5048,256,relu,64,8,True,1.860265077854337e-05
12,405,0.3467900649859355,256,relu,conv2d,1425,0.35,5.558784100825162e-05,48,4280,224,relu,24,12,True,4.298694010541949e-05
13,406,0.36461373934378993,256,relu,conv2d,1440,0.35,5.183663556334433e-05,48,4280,224,relu,24,12,True,4.981059242360959e-05
14,407,0.35301987405938023,256,relu,conv2d,1440,0.35,1.0493335689495943e-05,96,3640,192,relu,24,4,True,5.5927560815701016e-05
15,408,0.39627415801470095,128,relu,conv2d,1425,0.35,1.0252299053437519e-05,96,4152,224,relu,8,8,True,4.1659495288455576e-05
16,409,0.3396343468473508,256,relu,conv2d,1410,0.35,1.1773263320379275e-05,48,3768,192,relu,24,12,True,5.2320244797788804e-05
17,410,0.39399736804457813,256,relu,conv2d,1395,0.3,6.402697164799672e-05,48,3896,224,relu,40,12,True,2.087498867945655e-05
18,411,0.38068841505222595,64,relu,conv2d,1365,0.35,1.3936685163577323e-05,32,4536,192,softplus,16,12,False,3.652065137844988e-05
