filename,variable_name,time_dim,n_time,start_time,end_time,lat_dim,lon_dim,lat_min,lat_max,lon_min,lon_max,dtype,n_nans,nan_fraction,min,max,mean,std
air.2m.day.mean.nc,t2m,valid_time,16437,1980-01-01T00:00:00.000000000,2024-12-31T00:00:00.000000000,latitude,longitude,-20.0,-10.0,-180.0,-160.0,float32,0,0.0,292.4427795410156,303.1347961425781,299.5144958496094,1.2107223272323608
air.day.mean.nc,t,valid_time,14611,1980-01-01T00:00:00.000000000,2024-12-31T00:00:00.000000000,latitude,longitude,-20.0,-10.0,-180.0,-160.0,float32,0,0.0,291.0224914550781,302.5509948730469,298.52703857421875,1.4048386812210083
hgt.day.mean.nc,z,valid_time,14611,1980-01-01T00:00:00.000000000,2024-12-31T00:00:00.000000000,latitude,longitude,-20.0,-10.0,-180.0,-160.0,float32,0,0.0,-3029.266357421875,1883.4791259765625,964.65966796875,231.92811584472656
omega.day.mean.nc,w,valid_time,14611,1980-01-01T00:00:00.000000000,2024-12-31T00:00:00.000000000,latitude,longitude,-20.0,-10.0,-180.0,-160.0,float32,0,0.0,-7.632655620574951,0.8889358043670654,-0.023224690929055214,0.12458209693431854
pottmp.day.mean.nc,pt,valid_time,14611,1980-01-01T00:00:00.000000000,2024-12-31T00:00:00.000000000,latitude,longitude,-20.0,-10.0,-180.0,-160.0,float64,0,0.0,291.0224914550781,302.5509948730469,298.52702300979394,1.4048386397813617
pr_wtr.eatm.day.mean.nc,tcwv,valid_time,14611,1980-01-01T00:00:00.000000000,2024-12-31T00:00:00.000000000,latitude,longitude,-20.0,-10.0,-180.0,-160.0,float32,0,0.0,11.629730224609375,78.81407165527344,45.32887649536133,10.279643058776855
shum.day.mean.nc,q,valid_time,14550,1980-01-01T00:00:00.000000000,2024-12-31T00:00:00.000000000,latitude,longitude,-20.0,-10.0,-180.0,-160.0,float32,0,0.0,0.0030384333804249763,0.02019369788467884,0.014181017875671387,0.0016987049020826817
skt.day.mean.nc,skt,valid_time,14611,1980-01-01T00:00:00.000000000,2024-12-31T00:00:00.000000000,latitude,longitude,-20.0,-10.0,-180.0,-160.0,float32,0,0.0,295.2906799316406,304.38916015625,301.10516357421875,1.301987886428833
slp.day.mean.nc,msl,valid_time,14611,1980-01-01T00:00:00.000000000,2024-12-31T00:00:00.000000000,latitude,longitude,-20.0,-10.0,-180.0,-160.0,float32,0,0.0,96529.2890625,102247.5859375,101120.359375,274.4602966308594
uwnd.day.mean.nc,u,valid_time,14611,1980-01-01T00:00:00.000000000,2024-12-31T00:00:00.000000000,latitude,longitude,-20.0,-10.0,-180.0,-160.0,float32,0,0.0,-29.954330444335938,37.205257415771484,-4.685253620147705,4.750397205352783
vwnd.day.mean.nc,v,valid_time,14611,1980-01-01T00:00:00.000000000,2024-12-31T00:00:00.000000000,latitude,longitude,-20.0,-10.0,-180.0,-160.0,float32,0,0.0,-41.78550720214844,36.31583023071289,0.099701888859272,3.568399429321289
