year_month,monthly_total_precip_in
1976-01,0.0
1976-02,0.0
1976-03,0.0
1976-04,0.0
1976-05,0.0
1976-06,0.0
1976-07,0.0
1976-08,0.0
1976-09,0.0
1976-10,0.0
1976-11,0.0
1976-12,0.0
1977-01,
1977-02,
1977-03,
1977-04,
1977-05,
1977-06,
1977-07,
1977-08,
1977-09,
1977-10,
1977-11,
1977-12,
1978-01,
1978-02,
1978-03,
1978-04,
1978-05,
1978-06,
1978-07,
1978-08,
1978-09,
1978-10,
1978-11,
1978-12,
1979-01,
1979-02,
1979-03,
1979-04,
1979-05,
1979-06,
1979-07,
1979-08,
1979-09,
1979-10,
1979-11,
1979-12,
1980-01,
1980-02,
1980-03,
1980-04,
1980-05,
1980-06,
1980-07,
1980-08,
1980-09,
1980-10,
1980-11,
1980-12,
1981-01,
1981-02,
1981-03,
1981-04,
1981-05,
1981-06,
1981-07,
1981-08,
1981-09,
1981-10,
1981-11,
1981-12,
1982-01,
1982-02,
1982-03,
1982-04,
1982-05,
1982-06,
1982-07,
1982-08,
1982-09,
1982-10,
1982-11,
1982-12,
1983-01,
1983-02,
1983-03,
1983-04,
1983-05,
1983-06,
1983-07,
1983-08,
1983-09,
1983-10,
1983-11,
1983-12,
1984-01,
1984-02,
1984-03,
1984-04,
1984-05,
1984-06,
1984-07,
1984-08,
1984-09,
1984-10,
1984-11,
1984-12,
1985-01,
1985-02,
1985-03,
1985-04,
1985-05,
1985-06,
1985-07,
1985-08,
1985-09,
1985-10,
1985-11,
1985-12,
1986-01,
1986-02,
1986-03,
1986-04,
1986-05,
1986-06,
1986-07,
1986-08,
1986-09,
1986-10,
1986-11,
1986-12,
1987-01,0.29605091183590887
1987-02,
1987-03,0.2263006970054593
1987-04,
1987-05,
1987-06,0.1612004964970395
1987-07,0.044950138446289596
1987-08,0.0527001623163397
1987-09,0.0
1987-10,0.0558001718643596
1987-11,
1987-12,
1988-01,
1988-02,0.22630069700545846
1988-03,
1988-04,
1988-05,0.0945502912146091
1988-06,0.1441504439829295
1988-07,0.1736005346891194
1988-08,0.0682002100564393
1988-09,0.26040080203367943
1988-10,
1988-11,
1988-12,
1989-01,
1989-02,
1989-03,0.2588507972596684
1989-04,
1989-05,
1989-06,0.11005033895470959
1989-07,
1989-08,0.0155000477400998
1989-09,0.0201500620621299
1989-10,0.2976009166099191
1989-11,
1989-12,0.2526507781636294
1990-01,0.22165068268342908
1990-02,
1990-03,
1990-04,0.41075126511264903
1990-05,
1990-06,
1990-07,0.0403001241242594
1990-08,0.037200114576239396
1990-09,
1990-10,0.1689505203670892
1990-11,0.3239509977680893
1990-12,
1991-01,
1991-02,
1991-03,0.1953006015252593
1991-04,
1991-05,
1991-06,0.24025073997154936
1991-07,0.25265077816362896
1991-08,0.0589001814123794
1991-09,0.04185012889827
1991-10,0.10540032463267919
1991-11,
1991-12,
1992-01,0.26195080680768895
1992-02,0.27125083545174905
1992-03,
1992-04,
1992-05,
1992-06,0.029450090706189598
1992-07,
1992-08,
1992-09,
1992-10,
1992-11,0.2681508259037295
1992-12,
1993-01,
1993-02,0.18290056333317922
1993-03,
1993-04,
1993-05,
1993-06,0.054250167090349195
1993-07,0.1007503103106497
1993-08,
1993-09,
1993-10,0.3782011648584397
1993-11,
1993-12,0.26660082112971906
1994-01,
1994-02,
1994-03,
1994-04,
1994-05,
1994-06,
1994-07,0.3534010884742793
1994-08,0.2542007829376395
1994-09,0.13175040579084937
1994-10,0.4045512460166094
1994-11,0.3224009929940791
1994-12,0.4944515229091891
1995-01,
1995-02,
1995-03,
1995-04,
1995-05,
1995-06,
1995-07,
1995-08,
1995-09,
1995-10,
1995-11,
1995-12,
1996-01,
1996-02,
1996-03,
1996-04,0.2061506349433288
1996-05,
1996-06,
1996-07,0.12400038192079949
1996-08,0.0635501957344095
1996-09,0.23715073042352908
1996-10,
1996-11,0.24490075429357938
1996-12,0.365801126666359
1997-01,0.6200019096039989
1997-02,0.31000095480199913
1997-03,
1997-04,
1997-05,
1997-06,0.09300028644059971
1997-07,0.0604501861863895
1997-08,0.15035046307896918
1997-09,0.12400038192079918
1997-10,
1997-11,0.1534504726269891
1997-12,
1998-01,
1998-02,0.06510020050841951
1998-03,
1998-04,0.027900085932179096
1998-05,0.023250071610149595
1998-06,
1998-07,0.0294500907061899
